country,sex,year,not_classified_000
arm,f,2010,119.0999984741211
arm,mf,2011,164.89999389648438
arm,m,2011,58.400001525878906
arm,f,2011,106.5
arm,mf,2012,169.375
arm,m,2012,55.305999755859375
arm,f,2012,114.06900024414062
abw,mf,1991,0.08500000089406967
abw,m,1991,0.0560000017285347
abw,f,1991,0.028999999165534973
abw,mf,1994,0.07000000029802322
abw,m,1994,0.03999999910593033
abw,f,1994,0.029999999329447746
abw,mf,1997,0.04600000008940697
abw,mf,2000,0.11699999868869781
abw,m,2000,0.05900000035762787
abw,f,2000,0.057999998331069946
abw,mf,2007,0.1809999942779541
abw,m,2007,0.1289999932050705
abw,f,2007,0.052000001072883606
abw,mf,2010,0.4580000042915344
abw,m,2010,0.1289999932050705
abw,f,2010,0.32899999618530273
aut,mf,2004,0.5529999732971191
aut,m,2004,0.09099999815225601
aut,f,2004,0.460999995470047
bhs,mf,1991,1.100000023841858
bhs,m,1991,0.550000011920929
bhs,f,1991,0.5400000214576721
bhs,mf,1992,1.309999942779541
bhs,m,1992,0.7200000286102295
bhs,f,1992,0.5799999833106995
bhs,mf,1993,2.0999999046325684
bhs,m,1993,1.100000023841858
bhs,f,1993,1.0
bhs,mf,1994,0.9700000286102295
bhs,m,1994,0.6100000143051147
bhs,f,1994,0.3499999940395355
bhs,mf,1995,0.6499999761581421
bhs,m,1995,0.3700000047683716
bhs,f,1995,0.2800000011920929
bhs,mf,1996,2.2799999713897705
bhs,m,1996,1.440000057220459
bhs,f,1996,0.8399999737739563
bhs,mf,1997,0.5600000023841858
bhs,m,1997,0.2800000011920929
bhs,f,1997,0.2800000011920929
bhs,mf,1998,0.47999998927116394
bhs,m,1998,0.3499999940395355
bhs,f,1998,0.12999999523162842
bhs,mf,1999,1.2999999523162842
bhs,m,1999,0.8500000238418579
bhs,f,1999,0.44999998807907104
bhs,mf,2001,1.5800000429153442
bhs,m,2001,0.8299999833106995
bhs,f,2001,0.75
bhs,mf,2002,0.8600000143051147
bhs,m,2002,0.574999988079071
bhs,f,2002,0.2849999964237213
bhs,mf,2003,0.7450000047683716
bhs,m,2003,0.5199999809265137
bhs,f,2003,0.22499999403953552
bhs,mf,2004,0.925000011920929
bhs,m,2004,0.46000000834465027
bhs,f,2004,0.4650000035762787
bhs,mf,2008,0.07999999821186066
bhs,m,2008,0.02500000037252903
bhs,f,2008,0.054999999701976776
bhs,mf,2011,0.6100000143051147
bhs,m,2011,0.33500000834465027
bhs,f,2011,0.2750000059604645
bhr,mf,2004,0.9620000123977661
bhr,m,2004,0.7979999780654907
bhr,f,2004,0.164000004529953
bgd,mf,1996,9756.0
bgd,m,1996,8469.0
bgd,f,1996,1289.0
bgd,mf,2000,9488.0
bgd,m,2000,8057.0
bgd,f,2000,1431.0
bgd,mf,2003,1231.0
bgd,m,2003,807.0
bgd,f,2003,424.0
bgd,mf,2005,417.0
bgd,m,2005,230.0
bgd,f,2005,187.0
bgd,mf,2010,12280.0
bgd,m,2010,10732.0
bgd,f,2010,1549.0
bgd,mf,2011,4077.368896484375
bgd,m,2011,3501.9130859375
bgd,f,2011,575.4559936523438
brb,mf,1994,0.4000000059604645
brb,m,1994,0.30000001192092896
brb,f,1994,0.10000000149011612
brb,mf,1995,0.5
brb,m,1995,0.30000001192092896
brb,f,1995,0.10000000149011612
brb,mf,1996,1.2999999523162842
brb,m,1996,0.6000000238418579
brb,f,1996,0.699999988079071
brb,mf,1997,1.0
brb,m,1997,0.5
brb,f,1997,0.5
brb,mf,1998,1.100000023841858
brb,m,1998,0.699999988079071
brb,f,1998,0.4000000059604645
brb,mf,1999,0.699999988079071
brb,m,1999,0.6000000238418579
brb,f,1999,0.20000000298023224
brb,mf,2000,0.6000000238418579
brb,m,2000,0.30000001192092896
brb,f,2000,0.20000000298023224
brb,mf,2001,0.5
brb,m,2001,0.4000000059604645
brb,f,2001,0.10000000149011612
brb,mf,2002,0.5
brb,m,2002,0.5
brb,f,2002,0.20000000298023224
brb,mf,2003,0.4000000059604645
brb,m,2003,0.20000000298023224
brb,f,2003,0.10000000149011612
brb,mf,2004,0.5
brb,m,2004,0.4000000059604645
brb,f,2004,0.10000000149011612
brb,mf,2013,0.10000000149011612
brb,m,2013,0.10000000149011612
brb,f,2013,0.0
blr,mf,2009,122.55599975585938
blr,m,2009,59.4739990234375
blr,f,2009,63.082000732421875
bel,mf,1983,0.6119999885559082
bel,m,1983,0.6119999885559082
bel,f,1983,0.0
bel,mf,1984,0.4189999997615814
bel,m,1984,0.20100000500679016
bel,f,1984,0.21799999475479126
bel,mf,1985,0.1860000044107437
bel,m,1985,0.1860000044107437
bel,f,1985,0.0
bel,mf,2006,0.164000004529953
bel,m,2006,0.15199999511241913
bel,f,2006,0.012000000104308128
blz,mf,1993,0.10499999672174454
blz,m,1993,0.09000000357627869
blz,f,1993,0.014999999664723873
blz,mf,1994,0.11500000208616257
blz,m,1994,0.06499999761581421
blz,f,1994,0.05000000074505806
blz,mf,1995,0.09000000357627869
blz,m,1995,0.06499999761581421
blz,f,1995,0.02500000037252903
blz,mf,1996,0.2150000035762787
blz,m,1996,0.18000000715255737
blz,f,1996,0.03500000014901161
blz,mf,1997,0.05000000074505806
blz,m,1997,0.03500000014901161
blz,f,1997,0.014999999664723873
blz,mf,1998,0.10999999940395355
blz,m,1998,0.09000000357627869
blz,f,1998,0.019999999552965164
blz,mf,1999,0.08500000089406967
blz,m,1999,0.07000000029802322
blz,f,1999,0.014999999664723873
blz,mf,2005,0.10400000214576721
blz,m,2005,0.07400000095367432
blz,f,2005,0.029999999329447746
ben,mf,2010,70.49099731445312
ben,m,2010,39.59000015258789
ben,f,2010,30.902000427246094
bmu,mf,2009,0.01600000075995922
bmu,m,2009,0.0
bmu,f,2009,0.01600000075995922
bmu,mf,2010,0.27799999713897705
bmu,m,2010,0.14100000262260437
bmu,f,2010,0.47600001096725464
bmu,mf,2012,0.04399999976158142
