country,sex,year,total_self_employed_workers_a_b_c_d
atg,f,2001,9.5
arg,mf,1990,31.0
arg,m,1990,31.600000381469727
arg,f,1990,29.799999237060547
arg,mf,1991,29.700000762939453
arg,m,1991,30.399999618530273
arg,f,1991,28.600000381469727
arg,mf,1992,29.799999237060547
arg,m,1992,31.200000762939453
arg,f,1992,27.5
arg,mf,1993,31.200000762939453
arg,m,1993,32.70000076293945
arg,f,1993,28.700000762939453
arg,mf,1994,29.799999237060547
arg,m,1994,30.899999618530273
arg,f,1994,27.899999618530273
arg,mf,1995,29.399999618530273
arg,m,1995,32.0
arg,f,1995,25.100000381469727
arg,mf,1996,29.200000762939453
arg,m,1996,31.399999618530273
arg,f,1996,25.600000381469727
arg,mf,1997,28.200000762939453
arg,m,1997,30.299999237060547
arg,f,1997,24.899999618530273
arg,mf,1998,27.799999237060547
arg,m,1998,30.0
arg,f,1998,24.399999618530273
arg,mf,1999,27.600000381469727
arg,m,1999,29.899999618530273
arg,f,1999,24.100000381469727
arg,mf,2000,27.600000381469727
arg,m,2000,30.299999237060547
arg,f,2000,23.5
arg,mf,2001,28.200000762939453
arg,m,2001,31.200000762939453
arg,f,2001,23.799999237060547
arg,mf,2002,28.299999237060547
arg,m,2002,33.0
arg,f,2002,21.899999618530273
arg,mf,2003,26.299999237060547
arg,m,2003,30.0
arg,f,2003,21.299999237060547
arg,mf,2004,25.899999618530273
arg,m,2004,29.200000762939453
arg,f,2004,21.399999618530273
arg,mf,2005,25.5
arg,m,2005,28.799999237060547
arg,f,2005,21.0
arg,mf,2006,24.200000762939453
arg,m,2006,27.5
arg,f,2006,19.799999237060547
arg,mf,2007,23.600000381469727
arg,m,2007,26.799999237060547
arg,f,2007,19.100000381469727
arg,mf,2008,23.700000762939453
arg,m,2008,26.799999237060547
arg,f,2008,19.299999237060547
arg,mf,2009,24.0
arg,m,2009,27.0
arg,f,2009,19.899999618530273
arg,mf,2010,23.600000381469727
arg,m,2010,26.5
arg,f,2010,19.399999618530273
arg,mf,2011,23.100000381469727
arg,m,2011,26.200000762939453
arg,f,2011,18.700000762939453
arg,mf,2012,23.0
arg,m,2012,26.0
arg,f,2012,18.799999237060547
arg,mf,2013,24.700000762939453
arg,m,2013,28.799999237060547
arg,f,2013,18.899999618530273
arm,mf,2007,41.79999923706055
arm,mf,2008,29.799999237060547
arm,m,2008,29.600000381469727
arm,f,2008,30.200000762939453
arm,mf,2009,25.700000762939453
arm,m,2009,28.600000381469727
arm,f,2009,22.399999618530273
arm,mf,2010,28.0
arm,m,2010,28.299999237060547
arm,f,2010,27.600000381469727
arm,mf,2011,30.399999618530273
arm,m,2011,31.200000762939453
arm,f,2011,29.600000381469727
arm,mf,2012,29.0
arm,m,2012,31.200000762939453
arm,f,2012,26.700000762939453
arm,mf,2013,42.79999923706055
arm,m,2013,38.099998474121094
arm,f,2013,47.900001525878906
abw,mf,1991,7.699999809265137
abw,m,1991,10.0
abw,f,1991,4.599999904632568
abw,mf,2000,10.0
abw,m,2000,13.199999809265137
abw,f,2000,6.300000190734863
abw,mf,2007,8.899999618530273
abw,m,2007,11.600000381469727
abw,f,2007,5.900000095367432
abw,mf,2010,9.800000190734863
abw,m,2010,13.399999618530273
abw,f,2010,6.099999904632568
