country,sex,year,employers_a_000
arg,mf,1999,372.29998779296875
arg,m,1999,290.0
arg,f,1999,82.30000305175781
arg,mf,2000,395.6000061035156
arg,m,2000,297.70001220703125
arg,f,2000,97.9000015258789
arg,mf,2001,359.79998779296875
arg,m,2001,278.79998779296875
arg,f,2001,81.0999984741211
arg,mf,2002,302.6000061035156
arg,m,2002,237.89999389648438
arg,f,2002,64.5999984741211
arg,mf,2003,337.6000061035156
arg,m,2003,253.3000030517578
arg,f,2003,84.30000305175781
arg,mf,2004,388.5
arg,m,2004,295.20001220703125
arg,f,2004,93.30000305175781
arg,mf,2005,396.0
arg,m,2005,297.8999938964844
arg,f,2005,98.0999984741211
arg,mf,2006,414.29998779296875
arg,m,2006,307.29998779296875
arg,f,2006,107.0999984741211
arg,mf,2007,454.3699951171875
arg,m,2007,345.2239990234375
arg,f,2007,109.14600372314453
arg,mf,2008,470.9150085449219
arg,m,2008,347.5769958496094
arg,f,2008,123.33799743652344
arg,mf,2009,463.16900634765625
arg,m,2009,331.21099853515625
arg,f,2009,131.95899963378906
arg,mf,2010,474.8009948730469
arg,m,2010,346.510986328125
arg,f,2010,128.29100036621094
arg,mf,2011,482.0790100097656
arg,m,2011,364.87799072265625
arg,f,2011,117.2020034790039
arg,mf,2012,429.927001953125
arg,m,2012,310.2560119628906
arg,f,2012,119.6709976196289
arg,mf,2013,686.5440063476562
arg,m,2013,517.6320190429688
arg,f,2013,168.91200256347656
arm,mf,2007,6.300000190734863
arm,mf,2008,4.900000095367432
arm,m,2008,4.300000190734863
arm,f,2008,0.6000000238418579
arm,mf,2009,6.300000190734863
arm,m,2009,5.800000190734863
arm,f,2009,0.5
arm,mf,2010,6.099999904632568
arm,m,2010,5.400000095367432
arm,f,2010,0.699999988079071
arm,mf,2011,7.5
arm,m,2011,5.900000095367432
arm,f,2011,1.7000000476837158
arm,mf,2012,6.303999900817871
arm,m,2012,4.664999961853027
arm,f,2012,1.6390000581741333
arm,mf,2013,5.377999782562256
arm,m,2013,4.50600004196167
arm,f,2013,0.871999979019165
abw,mf,1991,1.1069999933242798
abw,m,1991,0.8190000057220459
abw,f,1991,0.2879999876022339
abw,mf,1994,3.369999885559082
abw,m,1994,2.5799999237060547
abw,f,1994,0.7900000214576721
abw,mf,1997,1.0750000476837158
abw,mf,2000,2.4820001125335693
abw,m,2000,1.7319999933242798
abw,f,2000,0.75
abw,mf,2007,2.319000005722046
abw,m,2007,1.7059999704360962
abw,f,2007,0.6129999756813049
abw,mf,2010,2.622999906539917
abw,m,2010,1.7690000534057617
abw,f,2010,0.8539999723434448
aut,mf,1995,177.66299438476562
aut,m,1995,134.83599853515625
aut,f,1995,42.82600021362305
aut,mf,1996,177.35299682617188
aut,m,1996,134.41400146484375
aut,f,1996,42.93899917602539
aut,mf,1997,177.0030059814453
aut,m,1997,132.1269989013672
aut,f,1997,44.875999450683594
aut,mf,1998,186.2760009765625
aut,m,1998,137.6510009765625
aut,f,1998,48.625
aut,mf,1999,181.72300720214844
aut,m,1999,133.79400634765625
aut,f,1999,47.92900085449219
aut,mf,2000,184.3280029296875
aut,m,2000,133.93600463867188
aut,f,2000,50.391998291015625
aut,mf,2001,180.64199829101562
aut,m,2001,132.12100219726562
aut,f,2001,48.520999908447266
aut,mf,2002,191.6929931640625
aut,m,2002,141.40899658203125
aut,f,2002,50.284000396728516
aut,mf,2003,190.53500366210938
aut,m,2003,140.48800659179688
aut,f,2003,50.047000885009766
aut,mf,2004,153.67300415039062
aut,m,2004,116.87799835205078
aut,f,2004,36.79600143432617
aut,mf,2005,172.9709930419922
aut,m,2005,134.36000061035156
aut,f,2005,38.611000061035156
aut,mf,2006,183.95899963378906
aut,m,2006,138.7899932861328
aut,f,2006,45.16999816894531
aut,mf,2007,191.38699340820312
aut,m,2007,144.32000732421875
aut,f,2007,47.06700134277344
aut,mf,2008,187.22000122070312
aut,m,2008,139.2969970703125
aut,f,2008,47.92300033569336
aut,mf,2009,188.72799682617188
aut,m,2009,140.64999389648438
aut,f,2009,48.077999114990234
aut,mf,2010,191.85499572753906
aut,m,2010,142.92799377441406
aut,f,2010,48.926998138427734
aut,mf,2011,189.7469940185547
aut,m,2011,143.4409942626953
aut,f,2011,46.30500030517578
aut,mf,2012,188.7259979248047
aut,m,2012,143.77000427246094
aut,f,2012,44.95600128173828
aut,mf,2013,184.12100219726562
aut,m,2013,140.33099365234375
aut,f,2013,43.78900146484375
aut,mf,2014,193.5240020751953
aut,m,2014,146.61000061035156
aut,f,2014,46.91400146484375
aze,mf,2003,165.89999389648438
aze,m,2003,89.0999984741211
aze,f,2003,76.80000305175781
aze,mf,2004,163.3000030517578
aze,m,2004,85.5999984741211
aze,f,2004,77.69999694824219
aze,mf,2005,125.30000305175781
aze,m,2005,65.69999694824219
aze,f,2005,59.599998474121094
aze,mf,2006,87.19999694824219
aze,m,2006,71.5
aze,f,2006,15.699999809265137
aze,mf,2007,202.6999969482422
aze,m,2007,176.3000030517578
aze,f,2007,26.299999237060547
aze,mf,2008,119.69999694824219
aze,m,2008,101.19999694824219
aze,f,2008,18.5
aze,mf,2009,521.3070068359375
aze,m,2009,328.4230041503906
aze,f,2009,192.88400268554688
aze,mf,2010,523.1890258789062
aze,m,2010,325.0459899902344
aze,f,2010,198.14300537109375
aze,mf,2011,407.29998779296875
aze,m,2011,240.3000030517578
aze,f,2011,167.0
aze,mf,2012,425.1000061035156
aze,m,2012,242.5
aze,f,2012,182.60000610351562
aze,mf,2013,455.6470031738281
aze,m,2013,265.4469909667969
aze,f,2013,190.1999969482422
bhr,mf,2002,5.705999851226807
bhr,m,2002,5.309000015258789
bhr,f,2002,0.3959999978542328
bhr,mf,2003,6.142000198364258
bhr,m,2003,5.71999979019165
bhr,f,2003,0.4230000078678131
bhr,mf,2004,7.052999973297119
bhr,m,2004,6.5970001220703125
bhr,f,2004,0.4560000002384186
bhr,mf,2005,7.677999973297119
bhr,m,2005,7.172999858856201
bhr,f,2005,0.5049999952316284
bhr,mf,2006,8.505000114440918
bhr,m,2006,7.960999965667725
bhr,f,2006,0.5450000166893005
bhr,mf,2007,9.031000137329102
bhr,m,2007,8.456000328063965
bhr,f,2007,0.574999988079071
bhr,mf,2008,9.82699966430664
bhr,m,2008,9.185999870300293
bhr,f,2008,0.640999972820282
bhr,mf,2009,10.628000259399414
bhr,m,2009,9.904000282287598
bhr,f,2009,0.7239999771118164
bhr,mf,2010,10.708000183105469
bhr,m,2010,9.96500015258789
bhr,f,2010,0.7419999837875366
bgd,mf,1996,148.0
bgd,m,1996,118.0
bgd,f,1996,30.0
bgd,mf,2000,97.0
bgd,m,2000,86.0
bgd,f,2000,11.0
bgd,mf,2003,169.0
bgd,m,2003,154.0
bgd,f,2003,15.0
bgd,mf,2005,130.0
bgd,m,2005,117.0
bgd,f,2005,13.0
bgd,mf,2010,119.0
bgd,m,2010,89.0
bgd,f,2010,30.0
bgd,mf,2011,1012.4199829101562
bgd,m,2011,925.31201171875
bgd,f,2011,87.10700225830078
brb,mf,1990,0.8999999761581421
brb,m,1990,0.6000000238418579
brb,f,1990,0.30000001192092896
brb,mf,1991,0.8999999761581421
brb,m,1991,0.699999988079071
brb,f,1991,0.20000000298023224
brb,mf,1992,0.6000000238418579
brb,m,1992,0.5
brb,f,1992,0.10000000149011612
brb,mf,1993,0.8999999761581421
brb,m,1993,0.699999988079071
brb,f,1993,0.20000000298023224
brb,mf,1994,0.699999988079071
brb,m,1994,0.6000000238418579
brb,f,1994,0.20000000298023224
brb,mf,1995,0.5
brb,m,1995,0.4000000059604645
brb,f,1995,0.10000000149011612
brb,mf,1996,0.30000001192092896
brb,m,1996,0.20000000298023224
brb,f,1996,0.10000000149011612
brb,mf,1997,0.4000000059604645
brb,m,1997,0.30000001192092896
brb,f,1997,0.10000000149011612
brb,mf,1998,0.699999988079071
brb,m,1998,0.5
brb,f,1998,0.30000001192092896
brb,mf,1999,0.4000000059604645
