country,sex,year,share_of_vulnerable_employment_in_total_employment_percentage
arg,f,2009,16.899999618530273
arg,mf,2010,19.0
arg,m,2010,20.899999618530273
arg,f,2010,16.5
arg,mf,2011,18.600000381469727
arg,m,2011,20.399999618530273
arg,f,2011,16.100000381469727
arg,mf,2012,19.0
arg,m,2012,21.100000381469727
arg,f,2012,16.100000381469727
arg,mf,2013,20.5
arg,m,2013,23.399999618530273
arg,f,2013,16.299999237060547
arm,mf,2007,35.70000076293945
arm,mf,2008,29.399999618530273
arm,m,2008,28.899999618530273
arm,f,2008,30.0
arm,mf,2009,25.200000762939453
arm,m,2009,27.600000381469727
arm,f,2009,22.399999618530273
arm,mf,2010,27.5
arm,m,2010,27.5
arm,f,2010,27.5
arm,mf,2011,29.799999237060547
arm,m,2011,30.200000762939453
arm,f,2011,29.299999237060547
arm,mf,2013,42.400001525878906
arm,m,2013,37.400001525878906
arm,f,2013,47.79999923706055
abw,mf,1991,3.9000000953674316
abw,m,1991,5.199999809265137
abw,f,1991,2.299999952316284
abw,mf,2000,4.099999904632568
abw,m,2000,5.5
abw,f,2000,2.5
abw,mf,2007,4.400000095367432
abw,m,2007,5.400000095367432
abw,f,2007,3.299999952316284
abw,mf,2010,4.099999904632568
abw,m,2010,5.800000190734863
abw,f,2010,2.4000000953674316
aut,mf,1995,9.399999618530273
aut,m,1995,7.900000095367432
aut,f,1995,11.399999618530273
aut,mf,1996,9.5
aut,m,1996,8.0
aut,f,1996,11.5
aut,mf,1997,8.899999618530273
aut,m,1997,7.800000190734863
aut,f,1997,10.399999618530273
aut,mf,1998,8.699999809265137
aut,m,1998,7.599999904632568
aut,f,1998,10.0
aut,mf,1999,8.699999809265137
aut,m,1999,7.599999904632568
aut,f,1999,10.100000381469727
aut,mf,2000,8.5
aut,m,2000,7.800000190734863
aut,f,2000,9.399999618530273
aut,mf,2001,8.5
aut,m,2001,7.900000095367432
aut,f,2001,9.300000190734863
aut,mf,2002,8.300000190734863
aut,m,2002,7.599999904632568
aut,f,2002,9.100000381469727
aut,mf,2003,7.900000095367432
aut,m,2003,7.5
aut,f,2003,8.5
aut,mf,2004,8.300000190734863
aut,m,2004,8.800000190734863
aut,f,2004,7.599999904632568
aut,mf,2005,8.300000190734863
aut,m,2005,8.5
aut,f,2005,8.100000381469727
aut,mf,2006,8.199999809265137
aut,m,2006,8.5
aut,f,2006,7.900000095367432
aut,mf,2007,8.800000190734863
aut,m,2007,8.800000190734863
aut,f,2007,8.800000190734863
aut,mf,2008,8.899999618530273
aut,m,2008,9.199999809265137
aut,f,2008,8.5
aut,mf,2009,8.899999618530273
aut,m,2009,9.199999809265137
aut,f,2009,8.600000381469727
aut,mf,2010,9.0
aut,m,2010,9.399999618530273
aut,f,2010,8.600000381469727
aut,mf,2011,8.600000381469727
aut,m,2011,8.899999618530273
aut,f,2011,8.199999809265137
aut,mf,2012,8.5
aut,m,2012,8.699999809265137
aut,f,2012,8.100000381469727
aut,mf,2013,8.699999809265137
aut,m,2013,9.100000381469727
aut,f,2013,8.300000190734863
aut,mf,2014,8.600000381469727
aut,m,2014,9.0
aut,f,2014,8.100000381469727
aze,mf,2003,62.400001525878906
aze,m,2003,60.70000076293945
aze,f,2003,64.19999694824219
aze,mf,2004,62.0
aze,m,2004,62.0
aze,f,2004,62.099998474121094
aze,mf,2005,62.599998474121094
aze,m,2005,62.599998474121094
aze,f,2005,62.599998474121094
aze,mf,2006,56.5
aze,m,2006,48.900001525878906
aze,f,2006,65.0999984741211
aze,mf,2007,53.20000076293945
aze,m,2007,40.5
aze,f,2007,66.0
aze,mf,2008,54.70000076293945
aze,m,2008,47.400001525878906
aze,f,2008,62.099998474121094
aze,mf,2009,55.400001525878906
aze,m,2009,49.29999923706055
aze,f,2009,61.79999923706055
aze,mf,2010,56.0
aze,m,2010,50.099998474121094
aze,f,2010,62.20000076293945
aze,mf,2011,57.5
aze,m,2011,54.599998474121094
aze,f,2011,60.599998474121094
aze,mf,2012,57.099998474121094
aze,m,2012,52.0
aze,f,2012,62.599998474121094
