country,sex,year,contributing_family_workers_d_000
bel,m,1983,21.121000289916992
bel,f,1983,102.1259994506836
bel,mf,1984,145.22999572753906
bel,m,1984,22.572999954223633
bel,f,1984,122.65799713134766
bel,mf,1985,142.18699645996094
bel,m,1985,23.891000747680664
bel,f,1985,118.2959976196289
bel,mf,1986,128.3260040283203
bel,m,1986,23.650999069213867
bel,f,1986,104.67500305175781
bel,mf,1987,106.66500091552734
bel,m,1987,17.28499984741211
bel,f,1987,89.37999725341797
bel,mf,1988,96.93299865722656
bel,m,1988,19.316999435424805
bel,f,1988,77.61599731445312
bel,mf,1989,113.00700378417969
bel,m,1989,22.8700008392334
bel,f,1989,90.13800048828125
bel,mf,1990,103.625
bel,m,1990,18.889999389648438
bel,f,1990,84.73500061035156
bel,mf,1991,87.21800231933594
bel,m,1991,13.928000450134277
bel,f,1991,73.28900146484375
bel,mf,1992,104.90599822998047
bel,m,1992,16.986000061035156
bel,f,1992,87.91999816894531
bel,mf,1993,93.71299743652344
bel,m,1993,12.107000350952148
bel,f,1993,81.60700225830078
bel,mf,1994,89.14199829101562
bel,m,1994,13.229000091552734
bel,f,1994,75.91300201416016
bel,mf,1995,96.4530029296875
bel,m,1995,14.222000122070312
bel,f,1995,82.2300033569336
bel,mf,1996,97.01200103759766
bel,m,1996,15.307000160217285
bel,f,1996,81.7040023803711
bel,mf,1997,89.49099731445312
bel,m,1997,11.461000442504883
bel,f,1997,78.02999877929688
bel,mf,1998,76.56500244140625
bel,m,1998,10.934000015258789
bel,f,1998,65.63099670410156
bel,mf,1999,98.29499816894531
bel,m,1999,9.770999908447266
bel,f,1999,88.5250015258789
bel,mf,2000,85.94499969482422
bel,m,2000,13.013999938964844
bel,f,2000,72.93099975585938
bel,mf,2001,79.87300109863281
bel,m,2001,12.699999809265137
bel,f,2001,67.1719970703125
bel,mf,2002,74.68099975585938
bel,m,2002,10.081999778747559
bel,f,2002,64.5989990234375
bel,mf,2003,68.22000122070312
bel,m,2003,11.71500015258789
bel,f,2003,56.505001068115234
bel,mf,2004,70.97799682617188
bel,m,2004,12.317999839782715
bel,f,2004,58.65999984741211
bel,mf,2005,72.14800262451172
bel,m,2005,9.321999549865723
bel,f,2005,62.82600021362305
bel,mf,2006,65.61399841308594
bel,m,2006,10.347000122070312
bel,f,2006,55.266998291015625
bel,mf,2007,56.625
bel,m,2007,8.62399959564209
bel,f,2007,48.000999450683594
bel,mf,2008,53.87200164794922
bel,m,2008,10.5
bel,f,2008,43.37300109863281
bel,mf,2009,55.448001861572266
bel,m,2009,11.569000244140625
bel,f,2009,43.880001068115234
bel,mf,2010,43.96699905395508
bel,m,2010,7.190000057220459
bel,f,2010,36.77799987792969
bel,mf,2011,50.00600051879883
bel,m,2011,12.111000061035156
bel,f,2011,37.895999908447266
bel,mf,2012,38.11000061035156
bel,m,2012,9.986000061035156
bel,f,2012,28.124000549316406
bel,mf,2013,41.178001403808594
bel,m,2013,10.420000076293945
bel,f,2013,30.757999420166016
bel,mf,2014,41.27000045776367
bel,m,2014,10.116000175476074
bel,f,2014,31.15399932861328
blz,mf,1993,1.8899999856948853
blz,m,1993,1.3899999856948853
blz,f,1993,0.5
blz,mf,1994,2.740000009536743
blz,m,1994,1.8250000476837158
blz,f,1994,0.9150000214576721
blz,mf,1995,2.424999952316284
blz,m,1995,1.6150000095367432
blz,f,1995,0.8100000023841858
blz,mf,1996,2.619999885559082
blz,m,1996,1.840000033378601
blz,f,1996,0.7799999713897705
blz,mf,1997,3.0850000381469727
blz,m,1997,2.184999942779541
blz,f,1997,0.8999999761581421
blz,mf,1998,2.984999895095825
blz,m,1998,1.899999976158142
blz,f,1998,1.0850000381469727
blz,mf,1999,2.630000114440918
blz,m,1999,1.7799999713897705
blz,f,1999,0.8500000238418579
