country,sex,year,own_account_workers_b
aus,mf,1999,13.600000381469727
aus,m,1999,16.5
aus,f,1999,9.899999618530273
aus,mf,2000,13.199999809265137
aus,m,2000,16.0
aus,f,2000,9.600000381469727
aus,mf,2001,13.199999809265137
aus,m,2001,16.100000381469727
aus,f,2001,9.5
aus,mf,2002,13.399999618530273
aus,m,2002,16.299999237060547
aus,f,2002,9.800000190734863
aus,mf,2003,13.0
aus,m,2003,15.899999618530273
aus,f,2003,9.5
aus,mf,2004,12.800000190734863
aus,m,2004,15.600000381469727
aus,f,2004,9.300000190734863
aus,mf,2005,12.600000381469727
aus,m,2005,15.300000190734863
aus,f,2005,9.300000190734863
aus,mf,2006,12.100000381469727
aus,m,2006,14.800000190734863
aus,f,2006,8.899999618530273
aus,mf,2007,11.699999809265137
aus,m,2007,14.199999809265137
aus,f,2007,8.600000381469727
aus,mf,2008,11.5
aus,m,2008,13.899999618530273
aus,f,2008,8.600000381469727
aus,mf,2009,11.600000381469727
aus,m,2009,14.100000381469727
aus,f,2009,8.5
aus,mf,2010,11.5
aus,m,2010,14.0
aus,f,2010,8.699999809265137
aus,mf,2011,11.100000381469727
aus,m,2011,13.300000190734863
aus,f,2011,8.5
aus,mf,2012,10.399999618530273
aus,m,2012,12.300000190734863
aus,f,2012,8.199999809265137
aus,mf,2013,10.100000381469727
aus,m,2013,12.0
aus,f,2013,7.900000095367432
aut,mf,1980,17.100000381469727
aut,mf,1981,16.700000762939453
aut,mf,1982,16.0
aut,mf,1983,16.0
aut,mf,1984,15.300000190734863
aut,mf,1985,10.5
aut,mf,1986,10.399999618530273
aut,mf,1987,10.399999618530273
aut,mf,1988,10.399999618530273
aut,mf,1989,10.5
aut,mf,1990,10.5
aut,mf,1991,10.199999809265137
aut,mf,1992,10.199999809265137
aut,mf,1993,10.0
aut,mf,1994,10.5
aut,mf,1995,6.0
aut,m,1995,6.0
aut,f,1995,6.099999904632568
aut,mf,1996,5.900000095367432
aut,m,1996,5.800000190734863
aut,f,1996,6.099999904632568
aut,mf,1997,5.900000095367432
aut,m,1997,6.099999904632568
aut,f,1997,5.599999904632568
aut,mf,1998,5.900000095367432
aut,m,1998,6.0
aut,f,1998,5.699999809265137
aut,mf,1999,5.900000095367432
aut,m,1999,6.0
aut,f,1999,5.800000190734863
aut,mf,2000,5.800000190734863
aut,m,2000,6.199999809265137
aut,f,2000,5.300000190734863
aut,mf,2001,6.0
aut,m,2001,6.400000095367432
