country,sex,year,persons_in_vulnerable_employment_thousands
arg,m,2013,2225.215087890625
arg,f,2013,1071.39501953125
arm,mf,2007,424.20001220703125
arm,mf,2008,348.0
arm,m,2008,186.3000030517578
arm,f,2008,161.6999969482422
arm,mf,2009,290.29998779296875
arm,m,2009,170.60000610351562
arm,f,2009,119.69999694824219
arm,mf,2010,325.5
arm,m,2010,177.0
arm,f,2010,148.60000610351562
arm,mf,2011,349.79998779296875
arm,m,2011,184.6999969482422
arm,f,2011,165.10000610351562
arm,mf,2013,492.8580017089844
arm,m,2013,227.08099365234375
arm,f,2013,265.7770080566406
abw,mf,1991,1.1480000019073486
abw,m,1991,0.8669999837875366
abw,f,1991,0.2809999883174896
abw,mf,2000,1.7170000076293945
abw,m,2000,1.2389999628067017
abw,f,2000,0.4779999852180481
abw,mf,2007,2.2739999294281006
abw,m,2007,1.4589999914169312
abw,f,2007,0.8149999976158142
abw,mf,2010,1.9170000553131104
abw,m,2010,1.3660000562667847
abw,f,2010,0.5509999990463257
aut,mf,1995,346.0379943847656
aut,m,1995,165.10000610351562
aut,f,1995,180.93800354003906
aut,mf,1996,344.79400634765625
aut,m,1996,163.42799377441406
aut,f,1996,181.36500549316406
aut,mf,1997,322.8919982910156
aut,m,1997,158.76400756835938
aut,f,1997,164.1280059814453
aut,mf,1998,314.10198974609375
aut,m,1998,154.47300720214844
aut,f,1998,159.6300048828125
aut,mf,1999,321.2279968261719
aut,m,1999,157.73399353027344
aut,f,1999,163.4929962158203
aut,mf,2000,313.4110107421875
aut,m,2000,160.89700317382812
aut,f,2000,152.51300048828125
aut,mf,2001,315.4410095214844
aut,m,2001,163.5989990234375
aut,f,2001,151.84300231933594
aut,mf,2002,303.65899658203125
aut,m,2002,153.072998046875
aut,f,2002,150.58700561523438
aut,mf,2003,297.7080078125
aut,m,2003,153.91000366210938
aut,f,2003,143.79800415039062
aut,mf,2004,298.7909851074219
aut,m,2004,173.78500366210938
aut,f,2004,125.00599670410156
aut,mf,2005,312.4360046386719
aut,m,2005,174.0989990234375
aut,f,2005,138.33599853515625
aut,mf,2006,315.25
aut,m,2006,177.0850067138672
aut,f,2006,138.16600036621094
aut,mf,2007,345.6860046386719
aut,m,2007,187.99000549316406
aut,f,2007,157.69500732421875
aut,mf,2008,353.7019958496094
aut,m,2008,198.4250030517578
aut,f,2008,155.27699279785156
aut,mf,2009,354.4129943847656
aut,m,2009,196.33399963378906
aut,f,2009,158.0780029296875
aut,mf,2010,362.9519958496094
aut,m,2010,202.4040069580078
aut,f,2010,160.5469970703125
aut,mf,2011,348.2650146484375
aut,m,2011,192.74600219726562
aut,f,2011,155.5189971923828
aut,mf,2012,345.25201416015625
aut,m,2012,189.6490020751953
aut,f,2012,155.60299682617188
aut,mf,2013,357.74700927734375
aut,m,2013,198.4949951171875
aut,f,2013,159.2519989013672
aut,mf,2014,352.9830017089844
aut,m,2014,196.05099487304688
aut,f,2014,156.93299865722656
aze,mf,2003,2336.39990234375
aze,m,2003,1189.5
aze,f,2003,1146.9000244140625
aze,mf,2004,2363.5
aze,m,2004,1238.300048828125
aze,f,2004,1125.199951171875
aze,mf,2005,2410.0
aze,m,2005,1262.699951171875
aze,f,2005,1147.300048828125
aze,mf,2006,2252.89990234375
aze,m,2006,1029.0
aze,f,2006,1223.9000244140625
aze,mf,2007,2134.10009765625
aze,m,2007,819.0
aze,f,2007,1315.0999755859375
aze,mf,2008,2217.0
aze,m,2008,969.9000244140625
aze,f,2008,1247.0999755859375
aze,mf,2009,2364.97802734375
aze,m,2009,1084.717041015625
aze,f,2009,1280.260986328125
aze,mf,2010,2422.990966796875
aze,m,2010,1115.8380126953125
aze,f,2010,1307.1529541015625
aze,mf,2011,2517.47607421875
aze,m,2011,1229.60205078125
aze,f,2011,1287.8740234375
aze,mf,2012,2539.5458984375
aze,m,2012,1191.93701171875
aze,f,2012,1347.6090087890625
aze,mf,2013,2551.550048828125
