country,sex,year,members_of_producers_cooperatives_c
eth,mf,2012,0.8999999761581421
eth,m,2012,0.8999999761581421
eth,f,2012,0.8999999761581421
eth,mf,2013,0.20000000298023224
eth,m,2013,0.30000001192092896
eth,f,2013,0.10000000149011612
gab,mf,1993,0.30000001192092896
gab,m,1993,0.5
gab,f,1993,0.10000000149011612
gmb,mf,2012,12.600000381469727
gmb,m,2012,11.600000381469727
gmb,f,2012,13.899999618530273
geo,mf,1998,0.5
geo,m,1998,0.800000011920929
geo,f,1998,0.30000001192092896
geo,mf,1999,0.5
geo,m,1999,0.699999988079071
geo,f,1999,0.4000000059604645
geo,mf,2000,0.6000000238418579
geo,m,2000,1.0
geo,f,2000,0.30000001192092896
geo,mf,2001,0.6000000238418579
geo,m,2001,0.800000011920929
geo,f,2001,0.30000001192092896
geo,mf,2002,0.20000000298023224
geo,m,2002,0.20000000298023224
geo,f,2002,0.10000000149011612
gin,mf,2009,0.20000000298023224
gin,m,2009,0.20000000298023224
gin,f,2009,0.10000000149011612
gin,mf,2010,0.6000000238418579
gin,m,2010,0.20000000298023224
gin,f,2010,1.0
gin,mf,2011,0.20000000298023224
gin,m,2011,0.20000000298023224
gin,f,2011,0.10000000149011612
gin,mf,2012,0.20000000298023224
gin,m,2012,0.20000000298023224
gin,f,2012,0.10000000149011612
hnd,mf,1996,0.4000000059604645
hnd,m,1996,0.6000000238418579
hnd,f,1996,0.10000000149011612
hnd,mf,1997,0.20000000298023224
hnd,m,1997,0.30000001192092896
hnd,f,1997,0.0
hnd,mf,1998,0.20000000298023224
hnd,m,1998,0.30000001192092896
hnd,f,1998,0.10000000149011612
hnd,mf,1999,0.5
hnd,m,1999,0.6000000238418579
hnd,f,1999,0.30000001192092896
hun,mf,1992,5.5
hun,m,1992,6.900000095367432
hun,f,1992,3.799999952316284
hun,mf,1993,3.5
hun,m,1993,4.400000095367432
hun,f,1993,2.4000000953674316
hun,mf,1994,2.799999952316284
hun,m,1994,3.4000000953674316
hun,f,1994,1.899999976158142
hun,mf,1995,2.299999952316284
hun,m,1995,2.799999952316284
hun,f,1995,1.600000023841858
irn,mf,1996,0.4000000059604645
irn,m,1996,0.4000000059604645
irn,f,1996,0.5
kaz,mf,2001,1.399999976158142
kaz,m,2001,1.899999976158142
kaz,f,2001,1.0
kaz,mf,2002,1.0
kaz,m,2002,1.2999999523162842
kaz,f,2002,0.6000000238418579
kaz,mf,2003,1.100000023841858
kaz,m,2003,1.5
kaz,f,2003,0.6000000238418579
kaz,mf,2004,0.800000011920929
kaz,m,2004,1.0
kaz,f,2004,0.6000000238418579
kaz,mf,2005,0.5
kaz,m,2005,0.6000000238418579
kaz,f,2005,0.30000001192092896
kaz,mf,2006,0.4000000059604645
kaz,m,2006,0.6000000238418579
kaz,f,2006,0.30000001192092896
kaz,mf,2007,0.4000000059604645
kaz,m,2007,0.5
kaz,f,2007,0.4000000059604645
kaz,mf,2008,0.30000001192092896
kaz,m,2008,0.5
kaz,f,2008,0.20000000298023224
kaz,mf,2009,0.30000001192092896
kaz,m,2009,0.30000001192092896
kaz,f,2009,0.20000000298023224
kaz,mf,2010,0.30000001192092896
kaz,m,2010,0.5
kaz,f,2010,0.20000000298023224
kaz,mf,2011,0.30000001192092896
kaz,m,2011,0.4000000059604645
kaz,f,2011,0.20000000298023224
kaz,mf,2012,0.30000001192092896
kaz,m,2012,0.4000000059604645
kaz,f,2012,0.20000000298023224
kaz,mf,2013,0.20000000298023224
kaz,m,2013,0.10000000149011612
kaz,f,2013,0.20000000298023224
kgz,mf,2002,4.199999809265137
kgz,m,2002,4.099999904632568
kgz,f,2002,4.300000190734863
kgz,mf,2003,0.8999999761581421
kgz,m,2003,1.100000023841858
kgz,f,2003,0.800000011920929
kgz,mf,2004,0.6000000238418579
kgz,m,2004,0.699999988079071
kgz,f,2004,0.4000000059604645
kgz,mf,2005,1.399999976158142
kgz,m,2005,1.399999976158142
kgz,f,2005,1.2999999523162842
kgz,mf,2006,0.800000011920929
kgz,m,2006,0.8999999761581421
kgz,f,2006,0.6000000238418579
kgz,mf,2009,0.20000000298023224
kgz,m,2009,0.20000000298023224
kgz,f,2009,0.20000000298023224
kgz,mf,2010,0.4000000059604645
kgz,m,2010,0.4000000059604645
kgz,f,2010,0.20000000298023224
kgz,mf,2011,0.30000001192092896
kgz,m,2011,0.30000001192092896
kgz,f,2011,0.30000001192092896
kgz,mf,2012,0.6000000238418579
kgz,m,2012,0.699999988079071
kgz,f,2012,0.5
kgz,mf,2013,0.30000001192092896
kgz,m,2013,0.5
kgz,f,2013,0.10000000149011612
lso,mf,2008,0.30000001192092896
lso,m,2008,0.20000000298023224
lso,f,2008,0.30000001192092896
lbr,mf,2010,1.0
lbr,m,2010,1.399999976158142
lbr,f,2010,0.699999988079071
mdg,mf,1993,0.10000000149011612
mdg,m,1993,0.10000000149011612
mdg,f,1993,0.10000000149011612
mdv,mf,2000,7.099999904632568
mdv,m,2000,10.0
mdv,f,2000,1.2000000476837158
mdv,mf,2006,5.199999809265137
mdv,m,2006,4.800000190734863
mdv,f,2006,6.0
mus,mf,1990,0.0
mus,m,1990,0.10000000149011612
mus,f,1990,0.10000000149011612
mus,mf,2000,0.0
mus,m,2000,0.0
mus,f,2000,0.0
mus,mf,2005,0.10000000149011612
mus,m,2005,0.20000000298023224
mus,f,2005,0.10000000149011612
mus,mf,2006,0.20000000298023224
mus,m,2006,0.20000000298023224
mus,f,2006,0.20000000298023224
mus,mf,2007,0.20000000298023224
mus,m,2007,0.10000000149011612
mus,f,2007,0.20000000298023224
mus,mf,2008,0.10000000149011612
mus,m,2008,0.10000000149011612
mus,f,2008,0.0
mda,mf,1999,0.8999999761581421
mda,m,1999,1.0
mda,f,1999,0.800000011920929
mng,mf,2000,0.5
mng,m,2000,0.5
mng,f,2000,0.5
mng,mf,2012,0.0
mng,m,2012,0.0
mng,f,2012,0.10000000149011612
mar,mf,1994,1.600000023841858
mar,m,1994,1.600000023841858
mar,f,1994,2.0
mar,mf,2002,2.299999952316284
mar,m,2002,2.799999952316284
mar,f,2002,0.699999988079071
mar,mf,2003,2.5
mar,m,2003,3.0999999046325684
mar,f,2003,0.8999999761581421
mar,mf,2004,2.4000000953674316
mar,m,2004,3.0
mar,f,2004,0.699999988079071
mar,mf,2005,2.299999952316284
mar,m,2005,2.9000000953674316
mar,f,2005,0.800000011920929
mar,mf,2006,2.299999952316284
mar,m,2006,2.9000000953674316
mar,f,2006,0.699999988079071
mar,mf,2007,1.7000000476837158
mar,m,2007,2.0999999046325684
mar,f,2007,0.6000000238418579
mar,mf,2008,1.600000023841858
mar,m,2008,2.0
mar,f,2008,0.5
ant,mf,2009,0.0
ant,m,2009,0.0
ant,f,2009,0.0
ant,mf,2011,0.0
ant,m,2011,0.0
ant,f,2011,0.0
pan,mf,2004,0.0
pan,m,2004,0.0
pan,f,2004,0.0
pan,mf,2005,0.0
pan,m,2005,0.0
pan,f,2005,0.0
pan,mf,2006,0.0
pan,m,2006,0.0
pan,f,2006,0.0
pan,mf,2007,0.0
pan,m,2007,0.0
pan,f,2007,0.0
pan,mf,2008,0.0
pan,m,2008,0.0
pan,f,2008,0.0
pan,mf,2012,0.0
pan,m,2012,0.0
pan,f,2012,0.10000000149011612
pan,mf,2013,0.0
pan,m,2013,0.0
pan,f,2013,0.10000000149011612
pan,mf,2014,0.0
pan,m,2014,0.0
pan,f,2014,0.0
rou,mf,1990,16.200000762939453
rou,m,1990,11.600000381469727
rou,f,1990,21.600000381469727
rou,mf,1994,1.899999976158142
rou,m,1994,1.5
rou,f,1994,2.299999952316284
rou,mf,1995,0.8999999761581421
rou,m,1995,0.8999999761581421
rou,f,1995,1.0
rou,mf,1996,0.6000000238418579
rou,m,1996,0.6000000238418579
rou,f,1996,0.6000000238418579
rus,mf,1992,7.099999904632568
rus,m,1992,9.0
rus,f,1992,5.099999904632568
rus,mf,1993,5.099999904632568
rus,m,1993,5.699999809265137
rus,f,1993,4.400000095367432
rus,mf,1994,4.800000190734863
rus,m,1994,5.300000190734863
rus,f,1994,4.300000190734863
rus,mf,1995,4.400000095367432
rus,m,1995,4.800000190734863
rus,f,1995,3.9000000953674316
rus,mf,1996,3.5999999046325684
rus,m,1996,3.9000000953674316
rus,f,1996,3.4000000953674316
rus,mf,1997,0.6000000238418579
rus,m,1997,0.699999988079071
rus,f,1997,0.4000000059604645
rus,mf,1998,0.5
rus,m,1998,0.6000000238418579
rus,f,1998,0.30000001192092896
rus,mf,1999,1.7999999523162842
rus,m,1999,2.200000047683716
rus,f,1999,1.399999976158142
rus,mf,2000,1.399999976158142
rus,m,2000,1.7999999523162842
rus,f,2000,1.0
rus,mf,2001,0.699999988079071
rus,m,2001,0.8999999761581421
rus,f,2001,0.5
rus,mf,2002,0.5
rus,m,2002,0.6000000238418579
rus,f,2002,0.4000000059604645
rus,mf,2003,0.5
rus,m,2003,0.6000000238418579
rus,f,2003,0.30000001192092896
rus,mf,2004,0.4000000059604645
rus,m,2004,0.5
rus,f,2004,0.30000001192092896
rus,mf,2005,0.30000001192092896
rus,m,2005,0.30000001192092896
rus,f,2005,0.20000000298023224
rus,mf,2006,0.30000001192092896
rus,m,2006,0.4000000059604645
rus,f,2006,0.20000000298023224
rus,mf,2007,0.10000000149011612
rus,m,2007,0.20000000298023224
rus,f,2007,0.10000000149011612
rus,mf,2008,0.10000000149011612
rus,m,2008,0.20000000298023224
rus,f,2008,0.10000000149011612
rus,mf,2009,0.10000000149011612
rus,m,2009,0.20000000298023224
rus,f,2009,0.10000000149011612
rus,mf,2010,0.10000000149011612
rus,m,2010,0.10000000149011612
rus,f,2010,0.10000000149011612
rus,mf,2011,0.10000000149011612
rus,m,2011,0.10000000149011612
rus,f,2011,0.0
rus,mf,2012,0.0
rus,m,2012,0.10000000149011612
rus,f,2012,0.0
rus,mf,2013,0.0
rus,m,2013,0.0
rus,f,2013,0.0
rwa,mf,2012,0.30000001192092896
rwa,m,2012,0.4000000059604645
rwa,f,2012,0.20000000298023224
syc,mf,2011,0.30000001192092896
syc,m,2011,0.20000000298023224
syc,f,2011,0.4000000059604645
sur,mf,2013,0.20000000298023224
sur,m,2013,0.0
sur,f,2013,0.30000001192092896
tjk,mf,2009,0.20000000298023224
tjk,m,2009,0.20000000298023224
tjk,f,2009,0.30000001192092896
tha,mf,2001,0.10000000149011612
tha,m,2001,0.0
tha,f,2001,0.10000000149011612
tha,mf,2002,0.0
tha,m,2002,0.0
tha,f,2002,0.10000000149011612
tha,mf,2003,0.10000000149011612
tha,m,2003,0.10000000149011612
tha,f,2003,0.10000000149011612
tha,mf,2004,0.10000000149011612
tha,m,2004,0.10000000149011612
tha,f,2004,0.20000000298023224
tha,mf,2005,0.10000000149011612
tha,m,2005,0.10000000149011612
tha,f,2005,0.20000000298023224
tha,mf,2006,0.10000000149011612
tha,m,2006,0.10000000149011612
tha,f,2006,0.10000000149011612
tha,mf,2007,0.10000000149011612
tha,m,2007,0.10000000149011612
tha,f,2007,0.20000000298023224
tha,mf,2008,0.10000000149011612
tha,m,2008,0.10000000149011612
tha,f,2008,0.20000000298023224
tha,mf,2009,0.20000000298023224
tha,m,2009,0.20000000298023224
tha,f,2009,0.10000000149011612
tha,mf,2010,0.10000000149011612
