country,sex,year,total_self_employed_workers_thousands
aus,f,1992,408.739990234375
aus,mf,1993,1239.3809814453125
aus,m,1993,821.1909790039062
aus,f,1993,418.1910095214844
aus,mf,1994,1232.56103515625
aus,m,1994,815.8140258789062
aus,f,1994,416.74798583984375
aus,mf,1995,1244.3380126953125
aus,m,1995,823.64599609375
aus,f,1995,420.6910095214844
aus,mf,1996,1240.781982421875
aus,m,1996,818.8720092773438
aus,f,1996,421.9100036621094
aus,mf,1997,1249.0999755859375
aus,m,1997,811.4030151367188
aus,f,1997,437.697998046875
aus,mf,1998,1237.428955078125
aus,m,1998,817.3569946289062
aus,f,1998,420.0719909667969
aus,mf,1999,1243.66796875
aus,m,1999,828.447021484375
aus,f,1999,415.2200012207031
aus,mf,2000,1203.342041015625
aus,m,2000,798.1240234375
aus,f,2000,405.2179870605469
aus,mf,2001,1232.1219482421875
aus,m,2001,822.9940185546875
aus,f,2001,409.12799072265625
aus,mf,2002,1268.866943359375
aus,m,2002,844.4760131835938
aus,f,2002,424.3909912109375
aus,mf,2003,1257.8089599609375
aus,m,2003,837.97802734375
aus,f,2003,419.8320007324219
aus,mf,2004,1257.947021484375
aus,m,2004,839.7230224609375
aus,f,2004,418.2239990234375
aus,mf,2005,1275.741943359375
aus,m,2005,842.6920166015625
aus,f,2005,433.04998779296875
aus,mf,2006,1255.990966796875
aus,m,2006,833.2440185546875
aus,f,2006,422.74700927734375
aus,mf,2007,1243.5970458984375
aus,m,2007,823.9140014648438
aus,f,2007,419.6830139160156
aus,mf,2008,1254.510986328125
aus,m,2008,822.0189819335938
aus,f,2008,432.49200439453125
aus,mf,2009,1272.718017578125
aus,m,2009,838.9630126953125
aus,f,2009,433.7539978027344
aus,mf,2010,1298.1429443359375
aus,m,2010,850.8189697265625
aus,f,2010,447.3240051269531
aus,mf,2011,1267.0169677734375
aus,m,2011,821.635009765625
aus,f,2011,445.3819885253906
aus,mf,2012,1201.343017578125
aus,m,2012,763.9030151367188
aus,f,2012,437.4410095214844
aus,mf,2013,1184.6839599609375
aus,m,2013,758.8189697265625
aus,f,2013,425.864990234375
aut,mf,1985,483.0
aut,mf,1986,487.0
aut,mf,1987,492.0
aut,mf,1988,488.0
aut,mf,1989,476.0
aut,mf,1990,483.0
aut,mf,1991,485.0
aut,mf,1992,474.0
aut,mf,1993,467.0
aut,mf,1994,511.0
aut,mf,1995,523.7009887695312
aut,m,1995,299.9360046386719
aut,f,1995,223.76400756835938
aut,mf,1996,522.14697265625
aut,m,1996,297.8420104980469
aut,f,1996,224.3040008544922
aut,mf,1997,499.8949890136719
aut,m,1997,290.8909912109375
aut,f,1997,209.00399780273438
aut,mf,1998,500.37799072265625
aut,m,1998,292.1239929199219
aut,f,1998,208.2550048828125
aut,mf,1999,502.95098876953125
aut,m,1999,291.52801513671875
aut,f,1999,211.4219970703125
aut,mf,2000,497.739013671875
aut,m,2000,294.8330078125
aut,f,2000,202.90499877929688
aut,mf,2001,496.0830078125
aut,m,2001,295.7200012207031
aut,f,2001,200.36399841308594
aut,mf,2002,495.35198974609375
aut,m,2002,294.48199462890625
aut,f,2002,200.87100219726562
aut,mf,2003,488.2430114746094
aut,m,2003,294.39801025390625
aut,f,2003,193.84500122070312
aut,mf,2004,452.4639892578125
aut,m,2004,290.6629943847656
aut,f,2004,161.802001953125
aut,mf,2005,485.4070129394531
aut,m,2005,308.4590148925781
aut,f,2005,176.94700622558594
aut,mf,2006,499.2090148925781
aut,m,2006,315.875
aut,f,2006,183.33599853515625
aut,mf,2007,537.072998046875
aut,m,2007,332.30999755859375
aut,f,2007,204.76199340820312
aut,mf,2008,540.9219970703125
aut,m,2008,337.72198486328125
aut,f,2008,203.1999969482422
aut,mf,2009,543.1409912109375
aut,m,2009,336.9840087890625
aut,f,2009,206.156005859375
aut,mf,2010,554.8070068359375
aut,m,2010,345.3320007324219
aut,f,2010,209.4739990234375
aut,mf,2011,538.0120239257812
aut,m,2011,336.18701171875
aut,f,2011,201.82400512695312
aut,mf,2012,533.97802734375
aut,m,2012,333.41900634765625
aut,f,2012,200.5590057373047
aut,mf,2013,541.8679809570312
aut,m,2013,338.82598876953125
aut,f,2013,203.04100036621094
aut,mf,2014,546.5070190429688
aut,m,2014,342.6610107421875
aut,f,2014,203.8470001220703
aze,mf,2003,2520.39990234375
aze,m,2003,1288.0
aze,f,2003,1232.4000244140625
aze,mf,2004,2545.199951171875
aze,m,2004,1333.5
aze,f,2004,1211.699951171875
aze,mf,2005,2549.800048828125
aze,m,2005,1336.0
aze,f,2005,1213.800048828125
aze,mf,2006,2350.60009765625
aze,m,2006,1106.5999755859375
aze,f,2006,1244.0
aze,mf,2007,2336.800048828125
aze,m,2007,995.2999877929688
aze,f,2007,1341.4000244140625
aze,mf,2008,2336.699951171875
aze,m,2008,1071.0999755859375
aze,f,2008,1265.5999755859375
aze,mf,2009,2886.284912109375
aze,m,2009,1413.1400146484375
aze,f,2009,1473.14501953125
aze,mf,2010,2946.179931640625
aze,m,2010,1440.884033203125
aze,f,2010,1505.2960205078125
aze,mf,2011,2924.77587890625
aze,m,2011,1469.9019775390625
aze,f,2011,1454.8740234375
aze,mf,2012,2964.64599609375
aze,m,2012,1434.43701171875
aze,f,2012,1530.208984375
aze,mf,2013,3007.197021484375
aze,m,2013,1460.072998046875
aze,f,2013,1547.1240234375
bhs,mf,1991,14.079999923706055
bhs,m,1991,8.779999732971191
bhs,f,1991,5.309999942779541
bhs,mf,1992,15.010000228881836
bhs,m,1992,10.475000381469727
bhs,f,1992,4.534999847412109
bhs,mf,1993,15.84000015258789
bhs,m,1993,10.225000381469727
bhs,f,1993,5.605000019073486
bhs,mf,1994,17.81999969482422
bhs,m,1994,11.265000343322754
bhs,f,1994,6.554999828338623
bhs,mf,1995,18.235000610351562
bhs,m,1995,10.864999771118164
bhs,f,1995,7.360000133514404
bhs,mf,1996,21.3799991607666
bhs,m,1996,13.725000381469727
bhs,f,1996,7.65500020980835
bhs,mf,1997,20.18000030517578
bhs,m,1997,13.475000381469727
bhs,f,1997,6.699999809265137
bhs,mf,1998,21.34000015258789
bhs,m,1998,13.8149995803833
bhs,f,1998,7.525000095367432
bhs,mf,1999,23.049999237060547
bhs,m,1999,15.46500015258789
bhs,f,1999,7.585000038146973
bhs,mf,2001,21.334999084472656
bhs,m,2001,14.479999542236328
bhs,f,2001,6.855000019073486
bhs,mf,2002,23.5
bhs,m,2002,15.670000076293945
bhs,f,2002,7.829999923706055
bhs,mf,2003,22.235000610351562
bhs,m,2003,14.170000076293945
bhs,f,2003,8.0649995803833
bhs,mf,2004,23.790000915527344
bhs,m,2004,14.59000015258789
bhs,f,2004,9.199999809265137
bhs,mf,2008,23.475000381469727
bhs,m,2008,15.505000114440918
bhs,f,2008,7.96999979019165
bhs,mf,2011,23.375
bhs,m,2011,15.670000076293945
bhs,f,2011,7.704999923706055
bhr,mf,2002,12.355999946594238
bhr,m,2002,11.260000228881836
bhr,f,2002,1.093999981880188
bhr,mf,2003,13.263999938964844
bhr,m,2003,12.098999977111816
bhr,f,2003,1.1649999618530273
bhr,mf,2004,13.223999977111816
bhr,m,2004,12.4399995803833
bhr,f,2004,0.7839999794960022
bhr,mf,2005,16.395000457763672
bhr,m,2005,14.994999885559082
bhr,f,2005,1.3990000486373901
bhr,mf,2006,18.11400032043457
bhr,m,2006,16.604000091552734
bhr,f,2006,1.5110000371932983
bhr,mf,2007,19.11400032043457
bhr,m,2007,17.51799964904785
bhr,f,2007,1.5959999561309814
bhr,mf,2008,20.740999221801758
bhr,m,2008,18.957000732421875
bhr,f,2008,1.781999945640564
bhr,mf,2009,22.363000869750977
bhr,m,2009,20.34000015258789
bhr,f,2009,2.0220000743865967
bhr,mf,2010,22.545000076293945
bhr,m,2010,20.45400047302246
bhr,f,2010,2.0899999141693115
bgd,mf,1996,38052.0
bgd,m,1996,20318.0
bgd,f,1996,17733.0
bgd,mf,2000,35742.0
bgd,m,2000,19395.0
bgd,f,2000,16347.0
bgd,mf,2003,37008.0
bgd,m,2003,28902.0
bgd,f,2003,8106.0
bgd,mf,2005,40373.0
bgd,m,2005,30601.0
bgd,f,2005,9772.0
bgd,mf,2010,33928.0
bgd,m,2010,20714.0
bgd,f,2010,13214.0
bgd,mf,2011,24105.919921875
bgd,m,2011,22054.259765625
bgd,f,2011,2051.66796875
brb,mf,1990,13.199999809265137
brb,m,1990,8.899999618530273
brb,f,1990,4.400000095367432
brb,mf,1991,12.899999618530273
brb,m,1991,9.0
brb,f,1991,3.9000000953674316
brb,mf,1992,12.5
brb,m,1992,8.399999618530273
brb,f,1992,4.199999809265137
brb,mf,1993,13.5
brb,m,1993,9.0
brb,f,1993,4.5
brb,mf,1994,13.699999809265137
brb,m,1994,8.899999618530273
brb,f,1994,4.800000190734863
brb,mf,1995,14.0
brb,m,1995,9.0
brb,f,1995,4.900000095367432
brb,mf,1996,14.699999809265137
brb,m,1996,9.699999809265137
brb,f,1996,5.099999904632568
brb,mf,1997,14.100000381469727
brb,m,1997,9.699999809265137
brb,f,1997,4.400000095367432
brb,mf,1998,15.199999809265137
brb,m,1998,10.300000190734863
brb,f,1998,5.0
brb,mf,1999,17.5
brb,m,1999,12.0
brb,f,1999,5.300000190734863
brb,mf,2000,16.399999618530273
brb,m,2000,11.5
brb,f,2000,4.900000095367432
brb,mf,2001,18.399999618530273
brb,m,2001,12.699999809265137
brb,f,2001,5.800000190734863
brb,mf,2002,18.100000381469727
brb,m,2002,12.300000190734863
brb,f,2002,5.599999904632568
brb,mf,2003,18.600000381469727
brb,m,2003,13.100000381469727
brb,f,2003,5.5
brb,mf,2004,20.100000381469727
brb,m,2004,13.5
brb,f,2004,6.599999904632568
brb,mf,2013,21.100000381469727
brb,m,2013,13.800000190734863
brb,f,2013,7.300000190734863
blr,mf,2009,144.92599487304688
blr,m,2009,90.69100189208984
blr,f,2009,54.23500061035156
bel,mf,1980,606.0
bel,m,1980,378.0
bel,f,1980,228.0
bel,mf,1981,609.0
bel,m,1981,379.0
bel,f,1981,230.0
bel,mf,1982,613.0
bel,m,1982,381.0
bel,f,1982,233.0
bel,mf,1983,626.3079833984375
bel,m,1983,401.0509948730469
bel,f,1983,225.2570037841797
bel,mf,1984,691.8900146484375
bel,m,1984,432.20001220703125
bel,f,1984,259.6910095214844
bel,mf,1985,701.781982421875
bel,m,1985,448.9150085449219
bel,f,1985,252.86700439453125
bel,mf,1986,672.6010131835938
bel,m,1986,434.0459899902344
bel,f,1986,238.55599975585938
bel,mf,1987,638.875
bel,m,1987,424.4679870605469
bel,f,1987,214.40699768066406
bel,mf,1988,625.875
bel,m,1988,414.25
bel,f,1988,211.625
bel,mf,1989,689.8770141601562
bel,m,1989,458.3420104980469
bel,f,1989,231.53599548339844
bel,mf,1990,686.3829956054688
bel,m,1990,454.9989929199219
bel,f,1990,231.38400268554688
bel,mf,1991,641.8900146484375
bel,m,1991,422.6830139160156
bel,f,1991,219.20599365234375
bel,mf,1992,673.3250122070312
bel,m,1992,429.9129943847656
bel,f,1992,243.41200256347656
bel,mf,1993,670.552001953125
bel,m,1993,431.7850036621094
bel,f,1993,238.76699829101562
bel,mf,1994,664.2210083007812
bel,m,1994,434.9100036621094
bel,f,1994,229.31199645996094
bel,mf,1995,680.4710083007812
bel,m,1995,431.8819885253906
bel,f,1995,248.58799743652344
bel,mf,1996,681.9110107421875
bel,m,1996,440.77801513671875
bel,f,1996,241.13299560546875
bel,mf,1997,660.8140258789062
bel,m,1997,425.6709899902344
bel,f,1997,235.14300537109375
bel,mf,1998,669.9669799804688
bel,m,1998,431.8070068359375
bel,f,1998,238.16200256347656
bel,mf,1999,688.6370239257812
bel,m,1999,419.35101318359375
bel,f,1999,269.2860107421875
bel,mf,2000,661.0360107421875
bel,m,2000,421.05999755859375
bel,f,2000,239.9759979248047
bel,mf,2001,614.60498046875
bel,m,2001,393.0950012207031
bel,f,2001,221.50900268554688
bel,mf,2002,625.5819702148438
bel,m,2002,393.64300537109375
bel,f,2002,231.93899536132812
bel,mf,2003,614.4429931640625
bel,m,2003,392.5119934082031
bel,f,2003,221.93099975585938
bel,mf,2004,609.219970703125
bel,m,2004,399.4549865722656
bel,f,2004,209.76600646972656
bel,mf,2005,645.0419921875
bel,m,2005,418.4150085449219
bel,f,2005,226.62600708007812
bel,mf,2006,642.780029296875
bel,m,2006,421.6409912109375
bel,f,2006,221.13999938964844
bel,mf,2007,649.3790283203125
bel,m,2007,425.87298583984375
bel,f,2007,223.50599670410156
bel,mf,2008,632.4290161132812
bel,m,2008,418.6610107421875
bel,f,2008,213.76800537109375
bel,mf,2009,654.2249755859375
bel,m,2009,429.5150146484375
bel,f,2009,224.71099853515625
bel,mf,2010,644.6079711914062
bel,m,2010,425.40399169921875
bel,f,2010,219.2050018310547
bel,mf,2011,644.8930053710938
bel,m,2011,430.3399963378906
bel,f,2011,214.55499267578125
bel,mf,2012,648.9949951171875
bel,m,2012,433.0950012207031
bel,f,2012,215.9010009765625
bel,mf,2013,683.1400146484375
bel,m,2013,460.4259948730469
bel,f,2013,222.71400451660156
bel,mf,2014,663.9619750976562
bel,m,2014,435.0169982910156
bel,f,2014,228.9459991455078
blz,mf,1993,18.25
blz,m,1993,13.675000190734863
blz,f,1993,4.574999809265137
blz,mf,1994,19.0
blz,m,1994,14.364999771118164
blz,f,1994,4.635000228881836
blz,mf,1995,19.764999389648438
blz,m,1995,15.03499984741211
blz,f,1995,4.730000019073486
blz,mf,1996,22.139999389648438
blz,m,1996,17.459999084472656
blz,f,1996,4.679999828338623
blz,mf,1997,25.049999237060547
blz,m,1997,18.760000228881836
blz,f,1997,6.289999961853027
blz,mf,1998,24.360000610351562
blz,m,1998,17.94499969482422
blz,f,1998,6.414999961853027
blz,mf,1999,27.145000457763672
blz,m,1999,20.295000076293945
blz,f,1999,6.849999904632568
blz,mf,2005,30.167999267578125
blz,m,2005,21.415000915527344
blz,f,2005,8.755999565124512
ben,mf,2003,2415.048095703125
ben,m,2003,1100.0689697265625
ben,f,2003,1314.97900390625
ben,mf,2010,2063.35302734375
ben,m,2010,933.60498046875
ben,f,2010,1129.748046875
bmu,mf,2009,4.839000225067139
bmu,m,2009,3.2750000953674316
bmu,f,2009,1.5640000104904175
bmu,mf,2010,3.6040000915527344
bmu,m,2010,2.4570000171661377
bmu,f,2010,1.1469999551773071
bmu,mf,2012,6.263000011444092
bmu,m,2012,3.9159998893737793
bmu,f,2012,2.3459999561309814
btn,mf,2006,151.1999969482422
btn,m,2006,75.0999984741211
btn,f,2006,76.5
btn,mf,2009,232.91099548339844
btn,m,2009,103.96900177001953
btn,f,2009,128.93800354003906
btn,mf,2010,221.10000610351562
btn,m,2010,102.0
btn,f,2010,119.0999984741211
btn,mf,2011,230.1999969482422
btn,m,2011,102.30000305175781
btn,f,2011,127.80000305175781
btn,mf,2012,238.95399475097656
btn,m,2012,94.88700103759766
btn,f,2012,144.06700134277344
bol,mf,1989,394.9100036621094
bol,m,1989,195.92999267578125
bol,f,1989,198.97000122070312
bol,mf,1990,397.4700012207031
bol,m,1990,202.6199951171875
bol,f,1990,194.85000610351562
bol,mf,1991,429.9100036621094
bol,m,1991,211.14999389648438
bol,f,1991,218.75999450683594
bol,mf,1992,452.7699890136719
bol,m,1992,223.6300048828125
bol,f,1992,229.13999938964844
bol,mf,1993,478.2699890136719
bol,m,1993,228.6699981689453
bol,f,1993,249.60000610351562
bol,mf,1994,547.27001953125
bol,m,1994,255.27999877929688
bol,f,1994,291.989990234375
bol,mf,1995,607.1099853515625
bol,m,1995,289.2200012207031
bol,f,1995,317.8900146484375
bol,mf,1996,935.6900024414062
bol,m,1996,431.0199890136719
bol,f,1996,505.6600036621094
bol,mf,1997,994.1400146484375
bol,m,1997,499.8599853515625
bol,f,1997,494.2699890136719
bol,mf,1999,2518.10009765625
bol,m,1999,1257.199951171875
bol,f,1999,1260.800048828125
bol,mf,2000,2487.39990234375
bol,m,2000,1296.5
bol,f,2000,1190.800048828125
bol,mf,2001,2621.0
bol,m,2001,1322.199951171875
bol,f,2001,1298.800048828125
bol,mf,2002,2618.199951171875
bol,m,2002,1375.800048828125
bol,f,2002,1242.300048828125
bol,mf,2003,2685.126953125
bol,m,2003,1278.56494140625
bol,f,2003,1406.56201171875
bol,mf,2004,2685.126953125
bol,m,2004,1278.56494140625
bol,f,2004,1406.56201171875
bol,mf,2005,2777.013916015625
bol,m,2005,1380.864013671875
bol,f,2005,1396.1500244140625
bol,mf,2006,2977.110107421875
bol,m,2006,1522.8719482421875
bol,f,2006,1454.238037109375
bol,mf,2007,2929.0
bol,m,2007,1460.199951171875
bol,f,2007,1468.699951171875
bol,mf,2008,3092.93994140625
bol,m,2008,1546.7359619140625
bol,f,2008,1546.2039794921875
bol,mf,2009,2995.118896484375
bol,m,2009,1492.0880126953125
bol,f,2009,1503.031005859375
bol,mf,2011,3024.830078125
bol,m,2011,1545.6090087890625
bol,f,2011,1479.220947265625
bih,mf,2006,223.0
bih,m,2006,148.0
bih,f,2006,76.0
bih,mf,2007,229.0
bih,m,2007,152.0
bih,f,2007,78.0
bih,mf,2008,245.0
bih,m,2008,158.0
bih,f,2008,87.0
bih,mf,2009,234.0
bih,m,2009,139.0
bih,f,2009,94.0
bih,mf,2010,224.0
bih,m,2010,137.0
bih,f,2010,87.0
bih,mf,2011,206.0
bih,m,2011,129.0
bih,f,2011,77.0
bih,mf,2012,223.0
bih,m,2012,140.0
bih,f,2012,83.0
bih,mf,2013,208.0
bih,m,2013,135.0
bih,f,2013,74.0
bwa,mf,1984,145.36000061035156
bwa,m,1984,63.18000030517578
bwa,f,1984,82.19999694824219
bwa,mf,1994,124.70500183105469
bwa,m,1994,65.9729995727539
bwa,f,1994,58.731998443603516
bwa,mf,2006,212.93600463867188
bwa,m,2006,106.3949966430664
bwa,f,2006,106.63999938964844
bwa,mf,2010,90.35600280761719
bwa,m,2010,42.167999267578125
bwa,f,2010,48.18899917602539
bra,mf,1990,20231.359375
bra,m,1990,13434.0703125
bra,f,1990,6797.29296875
bra,mf,1992,24411.349609375
bra,m,1992,14738.8603515625
bra,f,1992,9672.4892578125
bra,mf,1993,24726.0703125
bra,m,1993,14904.6298828125
bra,f,1993,9821.4423828125
bra,mf,1995,26476.900390625
bra,m,1995,15883.830078125
bra,f,1995,10593.0703125
bra,mf,1996,25092.349609375
bra,m,1996,15601.3701171875
bra,f,1996,9490.9755859375
bra,mf,2000,19902.630859375
bra,m,2000,13969.1103515625
bra,f,2000,5933.51123046875
bra,mf,2001,28861.0
bra,m,2001,18001.0
bra,f,2001,10860.0
bra,mf,2002,30001.0
bra,m,2002,18389.0
bra,f,2002,11612.0
bra,mf,2003,30407.0
bra,m,2003,18727.0
bra,f,2003,11680.0
bra,mf,2004,31424.0
bra,m,2004,19230.0
bra,f,2004,12194.0
bra,mf,2005,28461.0
bra,m,2005,18218.0
bra,f,2005,10242.0
bra,mf,2006,28303.0
bra,m,2006,18081.0
bra,f,2006,10222.0
bra,mf,2007,27935.0
bra,m,2007,17812.0
bra,f,2007,10124.0
bra,mf,2008,27420.220703125
bra,m,2008,17416.119140625
bra,f,2008,10004.099609375
bra,mf,2009,27269.009765625
bra,m,2009,17363.51953125
bra,f,2009,9905.4921875
bra,mf,2011,26040.5390625
bra,m,2011,17119.55078125
bra,f,2011,8920.990234375
bra,mf,2012,25997.80078125
bra,m,2012,17070.400390625
bra,f,2012,8927.4052734375
bra,mf,2013,25942.099609375
bra,m,2013,17153.9296875
bra,f,2013,8788.1767578125
vgb,mf,1991,1.1169999837875366
vgb,m,1991,0.800000011920929
vgb,f,1991,0.31700000166893005
brn,mf,1991,5.408999919891357
brn,m,1991,4.068999767303467
brn,f,1991,1.340000033378601
bgr,mf,2000,469.43499755859375
bgr,m,2000,296.4440002441406
bgr,f,2000,172.99099731445312
bgr,mf,2001,416.85699462890625
bgr,m,2001,263.6659851074219
bgr,f,2001,153.19200134277344
bgr,mf,2002,422.9670104980469
bgr,m,2002,261.38299560546875
bgr,f,2002,161.5850067138672
bgr,mf,2003,456.0740051269531
bgr,m,2003,289.3810119628906
bgr,f,2003,166.69400024414062
bgr,mf,2004,469.91900634765625
bgr,m,2004,294.85101318359375
bgr,f,2004,175.0679931640625
bgr,mf,2005,418.4010009765625
bgr,m,2005,264.5690002441406
bgr,f,2005,153.83200073242188
bgr,mf,2006,408.5150146484375
bgr,m,2006,262.00799560546875
bgr,f,2006,146.50799560546875
bgr,mf,2007,403.69000244140625
bgr,m,2007,260.7640075683594
bgr,f,2007,142.9250030517578
bgr,mf,2008,416.8680114746094
bgr,m,2008,262.96600341796875
bgr,f,2008,153.9010009765625
bgr,mf,2009,406.0539855957031
bgr,m,2009,256.677001953125
bgr,f,2009,149.375
bgr,mf,2010,390.052001953125
bgr,m,2010,240.54600524902344
bgr,f,2010,149.5070037841797
bgr,mf,2011,359.0589904785156
bgr,m,2011,227.58399963378906
bgr,f,2011,131.4759979248047
bgr,mf,2012,339.9159851074219
bgr,m,2012,217.28399658203125
bgr,f,2012,122.63300323486328
bgr,mf,2013,356.2489929199219
bgr,m,2013,230.39700317382812
bgr,f,2013,125.85199737548828
bgr,mf,2014,372.2449951171875
bgr,m,2014,241.2209930419922
bgr,f,2014,131.0240020751953
bfa,mf,1985,3876.277099609375
bfa,m,1985,1921.967041015625
bfa,f,1985,1954.31005859375
