country,sex,year,contributing_family_workers_d
bhr,m,2005,0.5
bhr,f,2005,0.699999988079071
bhr,mf,2006,0.6000000238418579
bhr,m,2006,0.5
bhr,f,2006,0.699999988079071
bhr,mf,2007,0.5
bhr,m,2007,0.5
bhr,f,2007,0.699999988079071
bhr,mf,2008,0.5
bhr,m,2008,0.5
bhr,f,2008,0.699999988079071
bhr,mf,2009,0.5
bhr,m,2009,0.5
bhr,f,2009,0.800000011920929
bhr,mf,2010,0.5
bhr,m,2010,0.5
bhr,f,2010,0.800000011920929
bgd,mf,1996,40.099998474121094
bgd,m,1996,17.100000381469727
bgd,f,1996,77.30000305175781
bgd,mf,2000,33.79999923706055
bgd,m,2000,10.100000381469727
bgd,f,2000,73.19999694824219
bgd,mf,2003,18.399999618530273
bgd,m,2003,9.899999618530273
bgd,f,2003,48.0
bgd,mf,2005,21.700000762939453
bgd,m,2005,9.699999809265137
bgd,f,2005,60.099998474121094
bgd,mf,2010,21.799999237060547
bgd,m,2010,7.099999904632568
bgd,f,2010,56.29999923706055
bgd,mf,2011,3.9000000953674316
bgd,m,2011,2.799999952316284
bgd,f,2011,11.399999618530273
brb,mf,1990,0.800000011920929
brb,m,1990,1.0
brb,f,1990,0.6000000238418579
brb,mf,1991,0.6000000238418579
brb,m,1991,0.699999988079071
brb,f,1991,0.4000000059604645
brb,mf,1992,0.10000000149011612
brb,m,1992,0.20000000298023224
brb,f,1992,0.20000000298023224
brb,mf,1993,0.5
brb,m,1993,0.800000011920929
brb,f,1993,0.20000000298023224
brb,mf,1994,0.10000000149011612
brb,m,1994,0.0
brb,f,1994,0.0
brb,mf,1995,0.0
brb,m,1995,0.0
brb,f,1995,0.0
brb,mf,1996,0.30000001192092896
brb,m,1996,0.20000000298023224
brb,f,1996,0.4000000059604645
brb,mf,1997,0.0
brb,m,1997,0.0
brb,f,1997,0.0
brb,mf,1998,0.0
brb,m,1998,0.0
brb,f,1998,0.0
brb,mf,1999,0.10000000149011612
brb,m,1999,0.0
brb,f,1999,0.0
brb,mf,2000,0.20000000298023224
brb,m,2000,0.10000000149011612
brb,f,2000,0.20000000298023224
brb,mf,2001,0.10000000149011612
brb,m,2001,0.0
brb,f,2001,0.20000000298023224
brb,mf,2002,0.10000000149011612
brb,m,2002,0.0
brb,f,2002,0.0
brb,mf,2003,0.0
brb,m,2003,0.0
brb,f,2003,0.0
brb,mf,2004,0.10000000149011612
brb,m,2004,0.0
brb,f,2004,0.20000000298023224
blr,mf,2009,0.10000000149011612
blr,m,2009,0.10000000149011612
blr,f,2009,0.10000000149011612
bel,mf,1980,3.4000000953674316
bel,m,1980,0.8999999761581421
bel,f,1980,8.0
bel,mf,1981,3.5
bel,m,1981,0.8999999761581421
bel,f,1981,8.100000381469727
bel,mf,1982,3.5999999046325684
bel,m,1982,0.8999999761581421
bel,f,1982,8.199999809265137
bel,mf,1983,3.5999999046325684
bel,m,1983,0.8999999761581421
bel,f,1983,8.699999809265137
bel,mf,1984,4.199999809265137
bel,m,1984,1.0
bel,f,1984,10.199999809265137
bel,mf,1985,4.0
bel,m,1985,1.0
bel,f,1985,9.600000381469727
bel,mf,1986,3.5999999046325684
bel,m,1986,1.0
bel,f,1986,8.399999618530273
bel,mf,1987,3.0999999046325684
bel,m,1987,0.800000011920929
bel,f,1987,7.199999809265137
bel,mf,1988,2.799999952316284
bel,m,1988,0.8999999761581421
bel,f,1988,6.099999904632568
bel,mf,1989,3.200000047683716
bel,m,1989,1.0
bel,f,1989,6.800000190734863
bel,mf,1990,2.9000000953674316
bel,m,1990,0.800000011920929
bel,f,1990,6.199999809265137
bel,mf,1991,2.299999952316284
bel,m,1991,0.6000000238418579
bel,f,1991,5.099999904632568
bel,mf,1992,2.799999952316284
bel,m,1992,0.699999988079071
bel,f,1992,5.900000095367432
bel,mf,1993,2.5
bel,m,1993,0.5
bel,f,1993,5.5
bel,mf,1994,2.4000000953674316
bel,m,1994,0.6000000238418579
bel,f,1994,5.099999904632568
bel,mf,1995,2.5
bel,m,1995,0.6000000238418579
bel,f,1995,5.400000095367432
bel,mf,1996,2.5999999046325684
bel,m,1996,0.699999988079071
bel,f,1996,5.400000095367432
bel,mf,1997,2.299999952316284
bel,m,1997,0.5
bel,f,1997,5.0
bel,mf,1998,2.0
bel,m,1998,0.5
bel,f,1998,4.099999904632568
bel,mf,1999,2.5
bel,m,1999,0.4000000059604645
bel,f,1999,5.300000190734863
bel,mf,2000,2.0999999046325684
bel,m,2000,0.5
bel,f,2000,4.199999809265137
bel,mf,2001,2.0
bel,m,2001,0.5
bel,f,2001,4.0
bel,mf,2002,1.7999999523162842
bel,m,2002,0.4000000059604645
bel,f,2002,3.799999952316284
bel,mf,2003,1.7000000476837158
bel,m,2003,0.5
bel,f,2003,3.200000047683716
bel,mf,2004,1.7000000476837158
bel,m,2004,0.5
bel,f,2004,3.299999952316284
bel,mf,2005,1.7000000476837158
bel,m,2005,0.4000000059604645
bel,f,2005,3.4000000953674316
bel,mf,2006,1.5
bel,m,2006,0.4000000059604645
bel,f,2006,3.0
bel,mf,2007,1.2999999523162842
bel,m,2007,0.4000000059604645
bel,f,2007,2.5
bel,mf,2008,1.2000000476837158
bel,m,2008,0.4000000059604645
bel,f,2008,2.200000047683716
bel,mf,2009,1.2999999523162842
bel,m,2009,0.5
bel,f,2009,2.200000047683716
bel,mf,2010,1.0
bel,m,2010,0.30000001192092896
bel,f,2010,1.7999999523162842
bel,mf,2011,1.100000023841858
bel,m,2011,0.5
bel,f,2011,1.899999976158142
bel,mf,2012,0.800000011920929
bel,m,2012,0.4000000059604645
bel,f,2012,1.399999976158142
bel,mf,2013,0.8999999761581421
bel,m,2013,0.4000000059604645
bel,f,2013,1.5
bel,mf,2014,0.8999999761581421
bel,m,2014,0.4000000059604645
bel,f,2014,1.5
blz,mf,1993,3.0
blz,m,1993,3.299999952316284
blz,f,1993,2.5999999046325684
blz,mf,1994,4.400000095367432
blz,m,1994,4.199999809265137
blz,f,1994,4.800000190734863
blz,mf,1995,3.9000000953674316
blz,m,1995,3.700000047683716
blz,f,1995,4.300000190734863
blz,mf,1996,4.0
blz,m,1996,4.0
blz,f,1996,4.099999904632568
blz,mf,1997,4.400000095367432
blz,m,1997,4.400000095367432
blz,f,1997,4.199999809265137
blz,mf,1998,4.099999904632568
blz,m,1998,3.799999952316284
blz,f,1998,4.699999809265137
blz,mf,1999,3.4000000953674316
blz,m,1999,3.299999952316284
blz,f,1999,3.5
blz,mf,2005,3.9000000953674316
blz,m,2005,3.700000047683716
blz,f,2005,4.300000190734863
ben,mf,2003,16.100000381469727
ben,m,2003,13.899999618530273
ben,f,2003,18.200000762939453
ben,mf,2010,14.100000381469727
ben,m,2010,8.300000190734863
ben,f,2010,19.5
bmu,mf,2009,0.0
bmu,m,2009,0.0
bmu,f,2009,0.10000000149011612
bmu,mf,2010,0.10000000149011612
bmu,m,2010,0.10000000149011612
bmu,f,2010,0.20000000298023224
bmu,mf,2012,0.30000001192092896
bmu,m,2012,0.5
bmu,f,2012,0.0
btn,mf,2006,53.900001525878906
btn,m,2006,46.0
btn,f,2006,64.69999694824219
btn,mf,2009,51.79999923706055
btn,m,2009,42.099998474121094
btn,f,2009,62.20000076293945
btn,mf,2010,41.5
btn,m,2010,34.79999923706055
btn,f,2010,48.599998474121094
