country,sex,year,not_classified_percentage
arm,m,2012,9.100000381469727
arm,f,2012,20.100000381469727
abw,mf,1991,0.30000001192092896
abw,m,1991,0.30000001192092896
abw,f,1991,0.20000000298023224
abw,mf,1994,0.20000000298023224
abw,m,1994,0.20000000298023224
abw,f,1994,0.20000000298023224
abw,mf,1997,0.10000000149011612
abw,mf,2000,0.30000001192092896
abw,m,2000,0.30000001192092896
abw,f,2000,0.30000001192092896
abw,mf,2007,0.4000000059604645
abw,m,2007,0.5
abw,f,2007,0.20000000298023224
abw,mf,2010,1.0
abw,m,2010,0.6000000238418579
abw,f,2010,1.399999976158142
aut,mf,2004,0.0
aut,m,2004,0.0
aut,f,2004,0.0
bhs,mf,1991,1.0
bhs,m,1991,0.8999999761581421
bhs,f,1991,1.0
bhs,mf,1992,1.100000023841858
bhs,m,1992,1.2000000476837158
bhs,f,1992,1.100000023841858
bhs,mf,1993,1.7000000476837158
bhs,m,1993,1.7000000476837158
bhs,f,1993,1.7000000476837158
bhs,mf,1994,0.800000011920929
bhs,m,1994,0.8999999761581421
bhs,f,1994,0.6000000238418579
bhs,mf,1995,0.5
bhs,m,1995,0.6000000238418579
bhs,f,1995,0.5
bhs,mf,1996,1.7999999523162842
bhs,m,1996,2.0
bhs,f,1996,1.399999976158142
bhs,mf,1997,0.4000000059604645
bhs,m,1997,0.4000000059604645
bhs,f,1997,0.4000000059604645
bhs,mf,1998,0.30000001192092896
bhs,m,1998,0.5
bhs,f,1998,0.20000000298023224
bhs,mf,1999,0.8999999761581421
bhs,m,1999,1.100000023841858
bhs,f,1999,0.699999988079071
bhs,mf,2001,1.0
bhs,m,2001,1.0
bhs,f,2001,1.0
bhs,mf,2002,0.6000000238418579
bhs,m,2002,0.699999988079071
bhs,f,2002,0.4000000059604645
bhs,mf,2003,0.5
bhs,m,2003,0.699999988079071
bhs,f,2003,0.30000001192092896
bhs,mf,2004,0.6000000238418579
bhs,m,2004,0.6000000238418579
bhs,f,2004,0.6000000238418579
bhs,mf,2008,0.0
bhs,m,2008,0.0
bhs,f,2008,0.10000000149011612
bhs,mf,2011,0.4000000059604645
bhs,m,2011,0.4000000059604645
bhs,f,2011,0.30000001192092896
bhr,mf,2004,0.30000001192092896
bhr,m,2004,0.30000001192092896
bhr,f,2004,0.30000001192092896
bgd,mf,1996,17.899999618530273
bgd,m,1996,25.100000381469727
bgd,f,1996,6.199999809265137
bgd,mf,2000,18.299999237060547
bgd,m,2000,24.899999618530273
bgd,f,2000,7.400000095367432
bgd,mf,2003,2.799999952316284
bgd,m,2003,2.299999952316284
bgd,f,2003,4.300000190734863
bgd,mf,2005,0.8999999761581421
bgd,m,2005,0.6000000238418579
bgd,f,2005,1.7000000476837158
bgd,mf,2010,22.700000762939453
bgd,m,2010,28.299999237060547
bgd,f,2010,9.600000381469727
bgd,mf,2011,10.199999809265137
bgd,m,2011,10.100000381469727
bgd,f,2011,11.100000381469727
brb,mf,1994,0.4000000059604645
brb,m,1994,0.5
brb,f,1994,0.20000000298023224
brb,mf,1995,0.5
brb,m,1995,0.5
brb,f,1995,0.20000000298023224
brb,mf,1996,1.100000023841858
brb,m,1996,1.0
brb,f,1996,1.2999999523162842
brb,mf,1997,0.800000011920929
brb,m,1997,0.800000011920929
brb,f,1997,0.8999999761581421
brb,mf,1998,0.8999999761581421
brb,m,1998,1.100000023841858
brb,f,1998,0.699999988079071
brb,mf,1999,0.6000000238418579
brb,m,1999,0.8999999761581421
brb,f,1999,0.30000001192092896
brb,mf,2000,0.5
brb,m,2000,0.4000000059604645
brb,f,2000,0.30000001192092896
brb,mf,2001,0.4000000059604645
brb,m,2001,0.6000000238418579
brb,f,2001,0.20000000298023224
brb,mf,2002,0.4000000059604645
brb,m,2002,0.699999988079071
brb,f,2002,0.30000001192092896
brb,mf,2003,0.30000001192092896
brb,m,2003,0.30000001192092896
brb,f,2003,0.20000000298023224
brb,mf,2004,0.4000000059604645
brb,m,2004,0.6000000238418579
brb,f,2004,0.20000000298023224
brb,mf,2013,0.10000000149011612
brb,m,2013,0.20000000298023224
brb,f,2013,0.0
blr,mf,2009,2.700000047683716
blr,m,2009,2.5999999046325684
blr,f,2009,2.799999952316284
bel,mf,1983,0.0
bel,m,1983,0.0
bel,f,1983,0.0
bel,mf,1984,0.0
bel,m,1984,0.0
bel,f,1984,0.0
bel,mf,1985,0.0
bel,m,1985,0.0
bel,f,1985,0.0
bel,mf,2006,0.0
bel,m,2006,0.0
bel,f,2006,0.0
blz,mf,1993,0.20000000298023224
blz,m,1993,0.20000000298023224
blz,f,1993,0.10000000149011612
blz,mf,1994,0.20000000298023224
blz,m,1994,0.10000000149011612
