country,sex,year,own_account_workers_b_000
arg,f,2013,1002.97900390625
arm,mf,1997,584.5999755859375
arm,mf,1998,601.0999755859375
arm,mf,1999,599.2000122070312
arm,mf,2000,602.7999877929688
arm,mf,2001,608.5999755859375
arm,mf,2002,552.7999877929688
arm,mf,2003,566.2000122070312
arm,mf,2004,566.5
arm,mf,2005,568.5
arm,mf,2006,558.9000244140625
arm,mf,2007,423.5
arm,mf,2008,348.0
arm,m,2008,186.3000030517578
arm,f,2008,161.6999969482422
arm,mf,2009,290.29998779296875
arm,m,2009,170.60000610351562
arm,f,2009,119.69999694824219
arm,mf,2010,325.5
arm,m,2010,177.0
arm,f,2010,148.60000610351562
arm,mf,2011,349.79998779296875
arm,m,2011,184.6999969482422
arm,f,2011,165.10000610351562
arm,mf,2012,333.97601318359375
arm,m,2012,184.28700256347656
arm,f,2012,149.68899536132812
arm,mf,2013,350.3030090332031
arm,m,2013,187.46200561523438
arm,f,2013,162.84100341796875
abw,mf,1991,1.0579999685287476
abw,m,1991,0.8489999771118164
abw,f,1991,0.20900000631809235
abw,mf,2000,1.5839999914169312
abw,m,2000,1.190999984741211
abw,f,2000,0.3930000066757202
abw,mf,2007,2.1489999294281006
abw,m,2007,1.4329999685287476
abw,f,2007,0.7160000205039978
abw,mf,2010,1.8389999866485596
abw,m,2010,1.340000033378601
abw,f,2010,0.49900001287460327
aus,mf,1980,980.5999755859375
aus,m,1980,699.0999755859375
aus,f,1980,281.5
aus,mf,1981,975.2999877929688
aus,m,1981,691.7000122070312
aus,f,1981,283.70001220703125
aus,mf,1982,974.7999877929688
aus,m,1982,691.0999755859375
aus,f,1982,283.70001220703125
aus,mf,1983,955.7999877929688
aus,m,1983,672.5
aus,f,1983,283.29998779296875
aus,mf,1984,989.5999755859375
aus,m,1984,701.5
aus,f,1984,288.1000061035156
aus,mf,1985,980.5339965820312
aus,m,1985,684.31298828125
aus,f,1985,296.22100830078125
aus,mf,1986,1005.5289916992188
aus,m,1986,694.197998046875
aus,f,1986,311.33099365234375
aus,mf,1987,1001.8770141601562
aus,m,1987,695.4320068359375
aus,f,1987,306.44500732421875
aus,mf,1988,1041.4239501953125
aus,m,1988,716.9660034179688
aus,f,1988,324.4580078125
aus,mf,1989,1052.758056640625
aus,m,1989,724.6320190429688
aus,f,1989,328.1260070800781
aus,mf,1990,1068.032958984375
aus,m,1990,729.6959838867188
aus,f,1990,338.3370056152344
