country,sex,year,wage_salaried_workers_employees_000
blz,m,1994,29.1299991607666
blz,f,1994,14.1850004196167
blz,mf,1995,42.71500015258789
blz,m,1995,28.639999389648438
blz,f,1995,14.074999809265137
blz,mf,1996,42.66999816894531
blz,m,1996,28.475000381469727
blz,f,1996,14.194999694824219
blz,mf,1997,45.58000183105469
blz,m,1997,30.469999313354492
blz,f,1997,15.109999656677246
blz,mf,1998,48.875
blz,m,1998,32.05500030517578
blz,f,1998,16.81999969482422
blz,mf,1999,50.525001525878906
blz,m,1999,33.314998626708984
blz,f,1999,17.209999084472656
blz,mf,2005,68.31400299072266
blz,m,2005,43.388999938964844
blz,f,2005,24.924999237060547
ben,mf,2003,272.4729919433594
ben,m,2003,214.21400451660156
ben,f,2003,58.25899887084961
ben,mf,2010,188.1060028076172
ben,m,2010,139.4340057373047
ben,f,2010,48.672000885009766
bmu,mf,2009,31.69499969482422
bmu,m,2009,14.711000442504883
bmu,f,2009,16.983999252319336
bmu,mf,2010,32.20100021362305
bmu,m,2010,15.458000183105469
bmu,f,2010,16.743000030517578
bmu,mf,2012,29.56599998474121
bmu,m,2012,14.201000213623047
bmu,f,2012,15.364999771118164
btn,mf,2006,71.4000015258789
btn,m,2006,51.400001525878906
btn,f,2006,20.299999237060547
btn,mf,2009,79.88899993896484
btn,m,2009,58.43199920654297
btn,f,2009,21.476999282836914
btn,mf,2010,99.69999694824219
btn,m,2010,63.900001525878906
btn,f,2010,35.79999923706055
btn,mf,2011,93.5
btn,m,2011,67.80000305175781
btn,f,2011,25.700000762939453
btn,mf,2012,90.53800201416016
btn,m,2012,66.47599792480469
btn,f,2012,24.062000274658203
bol,mf,1989,462.760009765625
bol,m,1989,298.2099914550781
bol,f,1989,164.5500030517578
bol,mf,1990,523.8699951171875
bol,m,1990,340.92999267578125
bol,f,1990,182.94000244140625
bol,mf,1991,558.0499877929688
bol,m,1991,365.30999755859375
bol,f,1991,192.74000549316406
bol,mf,1992,562.9299926757812
bol,m,1992,371.8900146484375
bol,f,1992,191.0399932861328
bol,mf,1993,612.6699829101562
bol,m,1993,388.8599853515625
bol,f,1993,223.80999755859375
bol,mf,1994,648.0900268554688
bol,m,1994,420.4599914550781
bol,f,1994,227.63999938964844
bol,mf,1995,648.6799926757812
bol,m,1995,418.0299987792969
bol,f,1995,230.64999389648438
bol,mf,1996,912.8499755859375
bol,m,1996,576.8900146484375
bol,f,1996,335.9599914550781
bol,mf,1997,883.4000244140625
bol,m,1997,565.6799926757812
bol,f,1997,317.7099914550781
bol,mf,1999,1051.300048828125
bol,m,1999,739.7999877929688
bol,f,1999,311.5
bol,mf,2000,1056.0
bol,m,2000,733.5999755859375
bol,f,2000,321.0
bol,mf,2001,1144.800048828125
bol,m,2001,801.5999755859375
bol,f,2001,343.1000061035156
bol,mf,2002,1117.5
bol,m,2002,781.2000122070312
bol,f,2002,336.20001220703125
bol,mf,2003,1509.6519775390625
bol,m,2003,1004.4769897460938
