country,sex,year,employers_percentage
arm,mf,2008,0.4000000059604645
arm,m,2008,0.699999988079071
arm,f,2008,0.10000000149011612
arm,mf,2009,0.5
arm,m,2009,0.8999999761581421
arm,f,2009,0.10000000149011612
arm,mf,2010,0.5
arm,m,2010,0.800000011920929
arm,f,2010,0.10000000149011612
arm,mf,2011,0.6000000238418579
arm,m,2011,1.0
arm,f,2011,0.30000001192092896
arm,mf,2012,0.5
arm,m,2012,0.800000011920929
arm,f,2012,0.30000001192092896
arm,mf,2013,0.5
arm,m,2013,0.699999988079071
arm,f,2013,0.20000000298023224
abw,mf,1991,3.799999952316284
abw,m,1991,4.900000095367432
abw,f,1991,2.299999952316284
abw,mf,1994,9.399999618530273
abw,m,1994,12.300000190734863
abw,f,1994,5.300000190734863
abw,mf,1997,2.5999999046325684
abw,mf,2000,5.900000095367432
abw,m,2000,7.699999809265137
abw,f,2000,3.9000000953674316
abw,mf,2007,4.5
abw,m,2007,6.300000190734863
abw,f,2007,2.5
abw,mf,2010,5.599999904632568
abw,m,2010,7.599999904632568
abw,f,2010,3.700000047683716
aut,mf,1995,4.800000190734863
aut,m,1995,6.5
aut,f,1995,2.700000047683716
aut,mf,1996,4.900000095367432
aut,m,1996,6.599999904632568
aut,f,1996,2.700000047683716
aut,mf,1997,4.900000095367432
aut,m,1997,6.5
aut,f,1997,2.9000000953674316
aut,mf,1998,5.099999904632568
aut,m,1998,6.800000190734863
aut,f,1998,3.0999999046325684
aut,mf,1999,4.900000095367432
aut,m,1999,6.5
aut,f,1999,3.0
aut,mf,2000,5.0
aut,m,2000,6.5
aut,f,2000,3.0999999046325684
aut,mf,2001,4.900000095367432
aut,m,2001,6.400000095367432
aut,f,2001,3.0
aut,mf,2002,5.199999809265137
aut,m,2002,7.0
aut,f,2002,3.0
aut,mf,2003,5.099999904632568
aut,m,2003,6.800000190734863
aut,f,2003,3.0
aut,mf,2004,4.300000190734863
aut,m,2004,5.900000095367432
aut,f,2004,2.200000047683716
aut,mf,2005,4.599999904632568
aut,m,2005,6.599999904632568
aut,f,2005,2.299999952316284
aut,mf,2006,4.800000190734863
aut,m,2006,6.699999809265137
aut,f,2006,2.5999999046325684
aut,mf,2007,4.900000095367432
aut,m,2007,6.800000190734863
aut,f,2007,2.5999999046325684
aut,mf,2008,4.699999809265137
aut,m,2008,6.400000095367432
aut,f,2008,2.5999999046325684
aut,mf,2009,4.699999809265137
aut,m,2009,6.599999904632568
aut,f,2009,2.5999999046325684
aut,mf,2010,4.800000190734863
aut,m,2010,6.699999809265137
aut,f,2010,2.5999999046325684
aut,mf,2011,4.699999809265137
aut,m,2011,6.599999904632568
aut,f,2011,2.4000000953674316
aut,mf,2012,4.599999904632568
aut,m,2012,6.599999904632568
aut,f,2012,2.299999952316284
aut,mf,2013,4.5
aut,m,2013,6.400000095367432
aut,f,2013,2.299999952316284
aut,mf,2014,4.699999809265137
aut,m,2014,6.699999809265137
aut,f,2014,2.4000000953674316
aze,mf,2003,4.400000095367432
aze,m,2003,4.5
aze,f,2003,4.300000190734863
aze,mf,2004,4.300000190734863
aze,m,2004,4.300000190734863
aze,f,2004,4.300000190734863
aze,mf,2005,3.299999952316284
aze,m,2005,3.299999952316284
aze,f,2005,3.299999952316284
aze,mf,2006,2.200000047683716
aze,m,2006,3.4000000953674316
aze,f,2006,0.800000011920929
aze,mf,2007,5.0
aze,m,2007,8.699999809265137
aze,f,2007,1.2999999523162842
aze,mf,2008,3.0
aze,m,2008,4.900000095367432
aze,f,2008,0.8999999761581421
aze,mf,2009,12.199999809265137
aze,m,2009,14.899999618530273
aze,f,2009,9.300000190734863
aze,mf,2010,12.100000381469727
aze,m,2010,14.600000381469727
aze,f,2010,9.399999618530273
aze,mf,2011,9.300000190734863
aze,m,2011,10.699999809265137
aze,f,2011,7.900000095367432
aze,mf,2012,9.600000381469727
aze,m,2012,10.600000381469727
aze,f,2012,8.5
aze,mf,2013,10.100000381469727
aze,m,2013,11.399999618530273
aze,f,2013,8.699999809265137
bhr,mf,2002,2.0
bhr,m,2002,2.299999952316284
bhr,f,2002,0.699999988079071
bhr,mf,2003,1.899999976158142
bhr,m,2003,2.200000047683716
bhr,f,2003,0.6000000238418579
bhr,mf,2004,2.299999952316284
bhr,m,2004,2.700000047683716
