country,sex,year,wage_salaried_workers_employees_percentage
aut,f,2001,87.69999694824219
aut,mf,2002,86.5
aut,m,2002,85.4000015258789
aut,f,2002,87.9000015258789
aut,mf,2003,87.0
aut,m,2003,85.69999694824219
aut,f,2003,88.5
aut,mf,2004,87.4000015258789
aut,m,2004,85.19999694824219
aut,f,2004,90.0999984741211
aut,mf,2005,87.0
aut,m,2005,84.9000015258789
aut,f,2005,89.5999984741211
aut,mf,2006,87.0
aut,m,2006,84.9000015258789
aut,f,2006,89.5
aut,mf,2007,86.30000305175781
aut,m,2007,84.5
aut,f,2007,88.5
aut,mf,2008,86.5
aut,m,2008,84.4000015258789
aut,f,2008,88.9000015258789
aut,mf,2009,86.4000015258789
aut,m,2009,84.19999694824219
aut,f,2009,88.80000305175781
aut,mf,2010,86.19999694824219
aut,m,2010,83.9000015258789
aut,f,2010,88.80000305175781
aut,mf,2011,86.69999694824219
aut,m,2011,84.5
aut,f,2011,89.30000305175781
aut,mf,2012,86.9000015258789
aut,m,2012,84.5999984741211
aut,f,2012,89.5
aut,mf,2013,86.80000305175781
aut,m,2013,84.5
aut,f,2013,89.4000015258789
aut,mf,2014,86.69999694824219
aut,m,2014,84.19999694824219
aut,f,2014,89.5
aze,mf,2003,32.70000076293945
aze,m,2003,34.29999923706055
aze,f,2003,31.0
aze,mf,2004,33.20000076293945
aze,m,2004,33.20000076293945
aze,f,2004,33.20000076293945
aze,mf,2005,33.79999923706055
aze,m,2005,33.79999923706055
aze,f,2005,33.79999923706055
aze,mf,2006,41.0
aze,m,2006,47.5
aze,f,2006,33.79999923706055
aze,mf,2007,41.79999923706055
aze,m,2007,50.70000076293945
aze,f,2007,32.70000076293945
aze,mf,2008,42.400001525878906
aze,m,2008,47.70000076293945
aze,f,2008,37.0
aze,mf,2009,32.400001525878906
aze,m,2009,35.79999923706055
aze,f,2009,28.899999618530273
aze,mf,2010,31.899999618530273
aze,m,2010,35.29999923706055
aze,f,2010,28.399999618530273
aze,mf,2011,31.700000762939453
aze,m,2011,34.70000076293945
aze,f,2011,28.600000381469727
aze,mf,2012,33.29999923706055
aze,m,2012,37.400001525878906
aze,f,2012,28.899999618530273
aze,mf,2013,33.5
aze,m,2013,37.5
aze,f,2013,29.200000762939453
bhs,mf,1991,86.69999694824219
bhs,m,1991,84.30000305175781
bhs,f,1991,89.4000015258789
bhs,mf,1992,85.80000305175781
bhs,m,1992,81.5
bhs,f,1992,90.5999984741211
bhs,mf,1993,85.30000305175781
bhs,m,1993,82.4000015258789
bhs,f,1993,88.5
bhs,mf,1994,84.9000015258789
bhs,m,1994,81.80000305175781
bhs,f,1994,88.30000305175781
bhs,mf,1995,85.19999694824219
bhs,m,1995,83.0999984741211
bhs,f,1995,87.5
bhs,mf,1996,81.80000305175781
bhs,m,1996,78.4000015258789
bhs,f,1996,85.69999694824219
bhs,mf,1997,84.69999694824219
bhs,m,1997,80.69999694824219
bhs,f,1997,89.0999984741211
bhs,mf,1998,84.9000015258789
bhs,m,1998,81.0
bhs,f,1998,89.0
bhs,mf,1999,83.19999694824219
bhs,m,1999,78.9000015258789
bhs,f,1999,88.19999694824219
bhs,mf,2001,85.0999984741211
bhs,m,2001,80.5999984741211
bhs,f,2001,89.80000305175781
bhs,mf,2002,84.0
bhs,m,2002,79.30000305175781
bhs,f,2002,89.0999984741211
bhs,mf,2003,85.19999694824219
bhs,m,2003,81.4000015258789
bhs,f,2003,89.0999984741211
bhs,mf,2004,84.4000015258789
bhs,m,2004,81.5999984741211
bhs,f,2004,87.4000015258789
bhs,mf,2008,86.5
bhs,m,2008,82.9000015258789
bhs,f,2008,90.5
bhs,mf,2011,85.4000015258789
bhs,m,2011,80.5
bhs,f,2011,90.30000305175781
bhr,mf,2002,95.80000305175781
bhr,m,2002,95.19999694824219
bhr,f,2002,98.19999694824219
bhr,mf,2003,95.9000015258789
bhr,m,2003,95.30000305175781
bhr,f,2003,98.19999694824219
bhr,mf,2004,95.4000015258789
bhr,m,2004,94.5
bhr,f,2004,98.5
bhr,mf,2005,96.0
bhr,m,2005,95.4000015258789
bhr,f,2005,98.30000305175781
bhr,mf,2006,95.9000015258789
bhr,m,2006,95.30000305175781
bhr,f,2006,98.30000305175781
bhr,mf,2007,96.0999984741211
bhr,m,2007,95.5999984741211
bhr,f,2007,98.30000305175781
bhr,mf,2008,96.19999694824219
bhr,m,2008,95.69999694824219
bhr,f,2008,98.30000305175781
bhr,mf,2009,96.30000305175781
bhr,m,2009,95.80000305175781
bhr,f,2009,98.19999694824219
bhr,mf,2010,96.80000305175781
bhr,m,2010,96.19999694824219
bhr,f,2010,99.0
